network,ks_cmi,ks_gpp,ks_led,bc_lcc,Caribou,AllBirds,ForestBirds,AllWaterfowl,CavityNesters,GroundNesters,OverwaterNesters,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr,rep
PB_68654_PB_77090,0.244,0.32,0.32,0.24,0.095,0.296,0.389,0.638,0.105,0.724,0.641,0.162,0.128,0.623,0.423,0.377,0.462,0.083,0.308,0.139,0.412,0.585,0
PB_68654_PB_83925,0.231,0.335,0.313,0.243,0.095,0.3,0.392,0.644,0.129,0.73,0.645,0.145,0.133,0.63,0.424,0.401,0.467,0.091,0.321,0.142,0.425,0.589,0
PB_68654_PB_84899,0.201,0.482,0.216,0.295,0.325,0.38,0.516,0.486,0.3,0.598,0.496,0.19,0.339,0.754,0.511,0.628,0.664,0.099,0.514,0.135,0.485,0.613,0
PB_68654_PB_86869,0.338,0.399,0.329,0.236,0.237,0.48,0.553,0.305,0.348,0.353,0.329,0.369,0.419,0.332,0.378,0.592,0.592,0.19,0.503,0.334,0.497,0.581,0
PB_71645_PB_86869,0.323,0.264,0.324,0.291,0.166,0.303,0.421,0.209,0.411,0.221,0.271,0.415,0.179,0.139,0.295,0.402,0.306,0.33,0.581,0.279,0.662,0.253,0
PB_71765_PB_86869,0.327,0.263,0.326,0.293,0.157,0.303,0.427,0.195,0.409,0.206,0.256,0.407,0.182,0.139,0.295,0.405,0.308,0.335,0.59,0.272,0.668,0.251,0
PB_75031_PB_86869,0.293,0.224,0.35,0.223,0.17,0.304,0.45,0.196,0.257,0.179,0.274,0.31,0.15,0.2,0.282,0.397,0.277,0.265,0.414,0.247,0.488,0.238,0
PB_75264_PB_82223,0.273,0.205,0.252,0.236,0.134,0.434,0.447,0.185,0.364,0.242,0.227,0.118,0.285,0.296,0.181,0.264,0.245,0.267,0.437,0.179,0.543,0.449,0
PB_75878_PB_86869,0.578,0.211,0.205,0.441,0.163,0.383,0.5,0.153,0.531,0.222,0.094,0.335,0.272,0.198,0.332,0.396,0.325,0.497,0.618,0.231,0.668,0.411,0
PB_82223_PB_86869,0.552,0.211,0.26,0.47,0.183,0.417,0.492,0.149,0.495,0.227,0.113,0.326,0.355,0.149,0.343,0.385,0.291,0.517,0.618,0.232,0.683,0.442,0
