Species,Ecoregion,Networks,CMI,GPP,LED,LCC,R2,RMSE
GROUNDNESTERS,59,"652 (500,152)",0.021 (0.41),-0.141 (-1.81),0.222 (3.51),0.169 (2.01),0.082,0.094
GROUNDNESTERS,60,"563 (470,93)",0.239 (3.08),0.475 (10.56),0.254 (3.89),0.115 (1.88),0.554,0.067
GROUNDNESTERS,62,"121 (41,80)",0.207 (4.31),-0.084 (-1.46),-0.143 (-1.21),0.181 (2.34),0.559,0.031
GROUNDNESTERS,68,"441 (233,208)",0 (-0.01),-0.345 (-2.81),0.309 (5.1),0 (0),0.052,0.127
GROUNDNESTERS,69,"1000 (500,500)",0.434 (26.76),0.141 (4.66),-0.136 (-3.21),-0.375 (-6.73),0.521,0.053
GROUNDNESTERS,70,"629 (500,129)",-0.041 (-0.84),-0.332 (-3.72),0.148 (1.72),0.72 (9.64),0.204,0.095
GROUNDNESTERS,71,"667 (500,167)",-0.078 (-1.69),0.362 (5.03),0.054 (0.63),0.038 (0.35),0.108,0.101
GROUNDNESTERS,72,"710 (500,210)",-0.04 (-1.53),1.144 (22.41),0.387 (8.05),0.7 (8.96),0.959,0.045
GROUNDNESTERS,74,"673 (500,173)",0.455 (9.37),1.04 (12.61),-0.32 (-5.29),-0.452 (-4.9),0.486,0.097
GROUNDNESTERS,77,"898 (500,398)",0.298 (8.78),0.416 (5.82),0.32 (4.71),-0.225 (-3.41),0.517,0.101
GROUNDNESTERS,78,"865 (500,365)",0.548 (14.34),-0.137 (-2.29),0.097 (1.57),-0.075 (-1.69),0.312,0.096
GROUNDNESTERS,80,"488 (69,419)",-0.177 (-3.32),0.805 (10.44),-0.108 (-1.51),-0.675 (-6.53),0.19,0.122
GROUNDNESTERS,87,"157 (121,36)",0.072 (0.92),0.679 (6.27),-0.41 (-2.57),-0.07 (-0.39),0.268,0.054
GROUNDNESTERS,88,"529 (500,29)",0.025 (0.41),-0.119 (-1.78),-0.283 (-3.37),0.743 (7.24),0.094,0.073
GROUNDNESTERS,89,"528 (500,28)",-0.186 (-3.24),0.399 (7.64),0.083 (1.13),-0.235 (-2.59),0.102,0.065
GROUNDNESTERS,90,"601 (500,101)",0.368 (12.48),-0.013 (-0.2),0.131 (2.81),-0.124 (-1.53),0.522,0.052
GROUNDNESTERS,94,"751 (251,500)",-0.237 (-6.43),-0.287 (-5.24),0.016 (0.45),0.521 (5.56),0.089,0.068
GROUNDNESTERS,95,"609 (500,109)",0.124 (3.17),1.005 (19.25),0.303 (5.52),-0.152 (-1.96),0.821,0.059
GROUNDNESTERS,100,"1000 (500,500)",-0.139 (-3.76),0.328 (5.4),0.627 (17.27),-0.769 (-7.77),0.294,0.081
GROUNDNESTERS,103,"578 (500,78)",-0.082 (-2.16),0.429 (6.61),-0.103 (-1.53),0.062 (0.76),0.116,0.075
GROUNDNESTERS,104,"39 (26,13)",-0.614 (-2.58),1.666 (5.36),0.85 (1.93),1.803 (2.18),0.926,0.074
GROUNDNESTERS,105,"805 (500,305)",0.075 (1.5),0.544 (10.46),0.443 (5.7),-0.415 (-5.2),0.445,0.101
GROUNDNESTERS,108,"526 (26,500)",-0.177 (-3.96),0.569 (6.43),-0.209 (-2.37),0.531 (3.6),0.113,0.146
GROUNDNESTERS,136,"80 (31,49)",-0.16 (-1.4),0.6 (4.59),-0.155 (-1.22),0.287 (0.93),0.587,0.056
GROUNDNESTERS,165,"374 (151,223)",-0.214 (-2.52),-0.129 (-0.98),1.193 (10.47),-0.795 (-7.99),0.553,0.07
GROUNDNESTERS,166,"181 (21,160)",0.034 (0.8),-0.058 (-0.54),1.191 (11.83),-0.145 (-1),0.58,0.055
GROUNDNESTERS,168,"518 (500,18)",0.175 (2),0.205 (1.71),-0.531 (-5.37),0.179 (1.68),0.063,0.078
GROUNDNESTERS,170,"933 (500,433)",0.311 (4.88),0.207 (1.95),-0.485 (-6.18),0.192 (2.44),0.244,0.128
GROUNDNESTERS,171,"450 (130,320)",0.07 (0.49),0.527 (3.1),0.207 (1.61),-0.457 (-2.49),0.109,0.122
GROUNDNESTERS,172,"526 (500,26)",0.404 (4.84),0.258 (2.83),0.679 (7.73),0.117 (0.92),0.461,0.091
GROUNDNESTERS,175,"581 (500,81)",0.357 (6.74),0.03 (0.54),0.445 (6.79),-0.238 (-2.83),0.275,0.066
GROUNDNESTERS,176,"253 (100,153)",0.686 (11.39),0.281 (2.01),-0.551 (-6.55),0.166 (0.83),0.681,0.084
GROUNDNESTERS,177,"98 (37,61)",0.627 (4.37),-0.779 (-2.29),-0.333 (-2),0.919 (2.57),0.235,0.12
GROUNDNESTERS,178,"518 (166,352)",0.403 (4.82),0.122 (0.92),0.136 (1.72),-0.706 (-5.26),0.11,0.135
GROUNDNESTERS,179,"627 (500,127)",-0.035 (-0.5),-0.068 (-0.96),0.262 (3.26),0.913 (10.8),0.516,0.081
GROUNDNESTERS,180,"920 (500,420)",0.074 (1.62),0 (0),0.091 (1.39),0.306 (2.78),0.094,0.131
GROUNDNESTERS,181,"567 (67,500)",0.032 (0.56),-0.473 (-9.67),0.63 (13.37),0.758 (6.29),0.409,0.068
GROUNDNESTERS,183,"54 (31,23)",0.144 (0.92),0.204 (1.42),-0.696 (-3.37),0.712 (2.34),0.601,0.059
GROUNDNESTERS,199,"512 (12,500)",0.468 (9.93),-0.6 (-4.88),0.495 (3.73),0.132 (0.96),0.18,0.142
GROUNDNESTERS,200,"363 (330,33)",0.482 (9.9),-0.297 (-4.1),-0.019 (-0.22),0.752 (7.68),0.614,0.044
GROUNDNESTERS,207,"414 (309,105)",0.264 (2.32),-0.324 (-2.27),0.374 (3.24),0.223 (1.44),0.106,0.11
GROUNDNESTERS,215,"765 (265,500)",0.012 (0.28),0.153 (2.07),0.057 (1.13),-0.234 (-2.78),0.008,0.152
GROUNDNESTERS,216,"1000 (500,500)",-0.049 (-1.74),0.671 (17.78),0.028 (0.55),0.229 (3.17),0.578,0.093
GROUNDNESTERS,217,"734 (500,234)",0.045 (1.6),0.724 (15.57),0.134 (2.96),-0.515 (-8.07),0.378,0.073
OVERWATERNESTERS,51,"241 (49,192)",0.575 (3.44),-1.403 (-4.74),-0.179 (-0.63),1.162 (4.65),0.435,0.06
OVERWATERNESTERS,52,"498 (357,141)",0.012 (0.18),-0.112 (-1.24),0.316 (3.33),0.068 (0.61),0.036,0.099
OVERWATERNESTERS,53,"576 (76,500)",-0.002 (-0.12),0.554 (15.28),1.4 (44.17),-0.734 (-17.2),0.971,0.023
OVERWATERNESTERS,55,"166 (21,145)",0.144 (2.31),0.917 (7.44),0.143 (1.11),-0.713 (-4.24),0.355,0.109
OVERWATERNESTERS,59,"652 (500,152)",-0.037 (-0.77),-0.076 (-1.01),0.08 (1.33),0.073 (0.92),0.001,0.089
OVERWATERNESTERS,60,"563 (470,93)",0.032 (0.48),0.804 (20.95),0.201 (3.59),-0.156 (-2.99),0.666,0.057
OVERWATERNESTERS,62,"121 (41,80)",0.373 (3.7),-0.399 (-3.32),0.337 (1.36),-0.177 (-1.09),0.43,0.064
OVERWATERNESTERS,68,"441 (233,208)",0.064 (1.22),-0.251 (-2.45),-0.147 (-2.9),0.801 (7.77),0.376,0.106
OVERWATERNESTERS,69,"1000 (500,500)",0.73 (45.74),-0.086 (-2.87),-0.4 (-9.75),-0.211 (-3.95),0.681,0.052
OVERWATERNESTERS,70,"629 (500,129)",0.298 (6.51),0.067 (0.79),0.018 (0.23),0.029 (0.42),0.266,0.088
OVERWATERNESTERS,71,"667 (500,167)",0.062 (1.36),0.258 (3.76),-0.189 (-2.24),0.123 (1.16),0.078,0.099
OVERWATERNESTERS,72,"710 (500,210)",0.959 (21.27),0.463 (5.37),-0.881 (-10.86),-0.295 (-2.23),0.589,0.077
OVERWATERNESTERS,74,"673 (500,173)",0.58 (19.97),-0.088 (-1.79),-0.047 (-1.26),0.205 (3.61),0.728,0.059
OVERWATERNESTERS,77,"898 (500,398)",-0.07 (-2.65),0.056 (1),0.096 (1.87),0.132 (2.61),0.062,0.079
OVERWATERNESTERS,78,"865 (500,365)",0.037 (1.12),-0.087 (-1.7),0.109 (2.11),0.078 (2.07),0.037,0.082
OVERWATERNESTERS,80,"488 (69,419)",-0.144 (-3.48),0.431 (7.2),0.205 (3.69),-0.328 (-4.09),0.167,0.094
OVERWATERNESTERS,87,"157 (121,36)",0.069 (1.26),-0.004 (-0.05),-0.045 (-0.4),0.461 (3.58),0.419,0.039
OVERWATERNESTERS,88,"529 (500,29)",0.102 (2),0.078 (1.31),0.01 (0.13),0.065 (0.73),0.059,0.063
OVERWATERNESTERS,89,"528 (500,28)",-0.04 (-0.86),0.44 (10.26),0.236 (3.99),-0.394 (-5.67),0.258,0.053
OVERWATERNESTERS,90,"601 (500,101)",0.316 (9.01),0.034 (0.45),0.485 (8.79),0.048 (0.51),0.643,0.062
OVERWATERNESTERS,94,"751 (251,500)",0.417 (12.33),0.906 (19.06),-0.109 (-3.59),-0.483 (-6),0.848,0.061
OVERWATERNESTERS,95,"609 (500,109)",0.121 (2.89),0.808 (15.29),0.249 (4.34),-0.371 (-4.45),0.67,0.062
OVERWATERNESTERS,100,"1000 (500,500)",0.139 (5.06),-0.126 (-2.76),0.213 (8.3),-0.233 (-3.18),0.101,0.059
OVERWATERNESTERS,103,"578 (500,78)",0.083 (2.24),0.286 (4.45),0.038 (0.56),0.319 (3.98),0.353,0.073
OVERWATERNESTERS,104,"39 (26,13)",-0.095 (-0.58),0.785 (3.65),0.859 (2.82),0.795 (1.39),0.923,0.051
OVERWATERNESTERS,105,"805 (500,305)",0.321 (6.98),0.584 (12.01),0.1 (1.37),-0.397 (-5.37),0.539,0.095
OVERWATERNESTERS,108,"526 (26,500)",0.494 (12.31),0.424 (5.25),0.057 (0.73),0.133 (0.98),0.39,0.131
OVERWATERNESTERS,136,"80 (31,49)",-0.203 (-1.25),0.922 (5),0.649 (3.62),-0.899 (-2.07),0.592,0.079
OVERWATERNESTERS,165,"374 (151,223)",-0.392 (-8.8),-0.289 (-4.22),1.044 (17.52),0.247 (4.74),0.933,0.037
OVERWATERNESTERS,166,"181 (21,160)",-0.298 (-7.67),-0.136 (-1.37),1.331 (14.41),0.067 (0.5),0.561,0.05
OVERWATERNESTERS,168,"518 (500,18)",0.36 (4.86),-0.169 (-1.63),-0.474 (-5.77),0.376 (4.13),0.106,0.067
OVERWATERNESTERS,170,"933 (500,433)",0.456 (7.24),-0.072 (-0.69),-0.118 (-1.53),0.17 (2.18),0.328,0.127
OVERWATERNESTERS,171,"450 (130,320)",-0.406 (-2.94),1.02 (6.23),-0.076 (-0.61),-0.442 (-2.5),0.095,0.118
OVERWATERNESTERS,172,"526 (500,26)",-0.124 (-1.91),0.048 (0.74),0.332 (5.22),0.031 (0.34),0.069,0.065
OVERWATERNESTERS,175,"581 (500,81)",-0.099 (-1.93),0.113 (2.07),0.775 (12.17),-0.162 (-1.95),0.359,0.064
OVERWATERNESTERS,176,"253 (100,153)",0.145 (2.8),0.574 (4.77),0.002 (0.03),-0.073 (-0.42),0.573,0.072
OVERWATERNESTERS,177,"98 (37,61)",0.775 (11.77),-0.695 (-4.45),-0.079 (-1.04),0.691 (4.21),0.79,0.055
OVERWATERNESTERS,178,"518 (166,352)",0.783 (9.26),0.04 (0.3),0.283 (3.54),-0.89 (-6.55),0.322,0.137
OVERWATERNESTERS,179,"627 (500,127)",0.028 (0.45),0.007 (0.1),0.406 (5.4),0.731 (9.7),0.592,0.073
OVERWATERNESTERS,180,"920 (500,420)",0.205 (5.12),0.042 (0.7),0.295 (5.14),0.053 (0.54),0.26,0.115
OVERWATERNESTERS,181,"567 (67,500)",-0.261 (-5.44),0.033 (0.76),0.729 (17.51),0.738 (6.77),0.629,0.06
OVERWATERNESTERS,183,"54 (31,23)",-0.025 (-0.21),-0.074 (-0.68),-0.39 (-2.5),0.531 (2.3),0.091,0.044
OVERWATERNESTERS,199,"512 (12,500)",0.47 (11.61),-0.287 (-2.68),0.467 (4.3),-0.221 (-1.78),0.27,0.123
OVERWATERNESTERS,200,"363 (330,33)",0.117 (1.78),-0.417 (-4.18),-0.299 (-2.53),1.734 (13.06),0.584,0.059
OVERWATERNESTERS,207,"414 (309,105)",0.048 (0.59),-0.049 (-0.48),0.482 (5.81),0.183 (1.64),0.284,0.079
OVERWATERNESTERS,215,"765 (265,500)",0.207 (5.35),-0.144 (-2.05),0.022 (0.43),-0.04 (-0.48),0.048,0.142
OVERWATERNESTERS,216,"1000 (500,500)",0.155 (4.91),0.104 (2.55),-0.156 (-2.77),-0.008 (-0.1),0.057,0.1
OVERWATERNESTERS,217,"734 (500,234)",0.186 (5.66),0.226 (4.05),-0.03 (-0.56),-0.078 (-1.04),0.185,0.085
BLBW,89,"528 (500,28)",0.201 (4.64),0.772 (18.11),0.103 (1.78),0.096 (1.37),0.674,0.052
BLBW,90,"601 (500,101)",0.59 (17.31),1.045 (14.57),0.086 (1.58),-1.633 (-17.81),0.509,0.06
BLBW,94,"751 (251,500)",0.2 (4.12),0.162 (2.27),-0.367 (-8.67),0.208 (1.74),0.194,0.089
BLBW,95,"609 (500,109)",0.464 (9.19),0.54 (8.32),0.055 (0.79),0.226 (2.33),0.743,0.074
BLBW,100,"1000 (500,500)",0.292 (16.27),0.683 (23.69),-0.019 (-1.12),0.613 (13.32),0.924,0.038
BLBW,108,"526 (26,500)",0.947 (62.5),-0.008 (-0.26),-0.009 (-0.32),0 (-0.01),0.91,0.05
BOCH,51,"241 (49,192)",0.49 (5.46),0.01 (0.07),-0.447 (-2.94),0.367 (2.73),0.878,0.032
BOCH,52,"498 (357,141)",0.107 (1.9),0.324 (4.19),0.209 (2.57),0.706 (7.43),0.546,0.085
BOCH,53,"576 (76,500)",0.996 (26.67),1.059 (15.1),-0.883 (-14.16),-0.673 (-8.12),0.817,0.045
BOCH,55,"166 (21,145)",0.302 (4.97),0.287 (2.38),-0.307 (-2.43),0.091 (0.55),0.261,0.107
BOCH,59,"652 (500,152)",0.366 (8.56),-0.125 (-1.97),0.133 (2.48),-0.009 (-0.13),0.251,0.077
BOCH,60,"563 (470,93)",0.215 (2.3),-0.264 (-4.86),0.467 (5.9),0.338 (4.57),0.266,0.08
BOCH,62,"121 (41,80)",0.584 (4.53),-0.318 (-2.07),0.58 (1.83),-0.526 (-2.53),0.637,0.082
BOCH,68,"441 (233,208)",0.025 (0.39),-0.312 (-2.47),0.357 (5.72),0.072 (0.57),0.097,0.13
BOCH,69,"1000 (500,500)",0.074 (3.43),0.399 (9.52),-0.371 (-6.52),0.622 (8.24),0.593,0.072
BOCH,70,"629 (500,129)",0.265 (5.85),0.088 (1.04),-0.03 (-0.35),0.261 (3.75),0.35,0.088
BOCH,71,"667 (500,167)",0.395 (11.24),0.186 (3.43),-0.349 (-5.19),0.319 (3.84),0.431,0.077
BOCH,72,"710 (500,210)",0.314 (9.86),0.084 (1.39),0.435 (7.74),0.34 (3.57),0.847,0.054
BOCH,74,"673 (500,173)",0.095 (1.59),0.558 (5.39),-0.344 (-4.58),0.356 (3.08),0.184,0.12
BOCH,77,"898 (500,398)",0.165 (5.34),0.347 (5.33),-0.289 (-4.73),0.537 (9.01),0.517,0.093
BOCH,78,"865 (500,365)",-0.038 (-0.89),0.525 (7.94),-0.029 (-0.43),0.363 (7.54),0.417,0.106
BOCH,80,"488 (69,419)",0.068 (1.12),0.522 (5.97),-0.158 (-1.95),-0.453 (-3.86),0.099,0.138
BOCH,87,"157 (121,36)",0.195 (2.06),0.934 (7.06),-0.05 (-0.26),-0.03 (-0.14),0.715,0.067
BOCH,88,"529 (500,29)",0.305 (3.8),0.092 (1.02),0.185 (1.67),-0.088 (-0.61),0.116,0.1
BOCH,89,"528 (500,28)",-0.063 (-1.27),0.802 (16.6),0.235 (3.6),0.596 (7.41),0.685,0.058
BOCH,90,"601 (500,101)",0.72 (20.43),0.507 (6.47),0.178 (3.1),-0.224 (-2.27),0.805,0.063
BOCH,94,"751 (251,500)",0.434 (12.66),1.171 (23.95),-0.448 (-14.85),-0.336 (-4.03),0.889,0.063
BOCH,95,"609 (500,109)",0.106 (1.52),0.25 (2.76),0.059 (0.62),0.144 (1.01),0.194,0.101
BOCH,100,"1000 (500,500)",-0.05 (-1.16),-0.73 (-9.95),0.385 (9.23),0.738 (6.18),0.244,0.093
BOCH,103,"578 (500,78)",0.62 (15.8),0.191 (2.8),0.015 (0.21),0.001 (0.02),0.609,0.077
BOCH,104,"39 (26,13)",-0.488 (-1.62),1.779 (4.52),2.305 (4.13),-0.435 (-0.42),0.88,0.093
BOCH,105,"805 (500,305)",-0.133 (-2.63),0.387 (7.2),0.229 (2.94),0.006 (0.07),0.259,0.103
BOCH,108,"526 (26,500)",0.382 (11.23),0.337 (4.83),-0.023 (-0.34),0.565 (4.92),0.417,0.111
BOCH,136,"80 (31,49)",-0.379 (-1.52),0.622 (2.18),0.372 (1.34),0.467 (0.7),0.449,0.123
BOCH,165,"374 (151,223)",0.252 (3.64),0.029 (0.27),-0.03 (-0.33),0.61 (7.54),0.739,0.057
BOCH,166,"181 (21,160)",0.382 (11.66),0.325 (3.89),-0.221 (-2.84),-0.19 (-1.69),0.591,0.042
BOCH,168,"518 (500,18)",0.007 (0.09),-0.077 (-0.78),0.05 (0.62),0.273 (3.29),0.033,0.064
BOCH,170,"933 (500,433)",-0.186 (-3.89),0.089 (1.13),0.058 (0.98),0.803 (13.72),0.542,0.096
BOCH,171,"450 (130,320)",0.882 (6.86),-0.672 (-4.4),-0.36 (-3.13),1.026 (6.21),0.566,0.11
BOCH,172,"526 (500,26)",-0.415 (-4.58),0.581 (6.15),0.336 (3.89),0.984 (7.44),0.408,0.093
BOCH,175,"581 (500,81)",-0.126 (-1.88),0.43 (6.4),0.373 (4.82),-0.367 (-3.57),0.175,0.082
BOCH,176,"253 (100,153)",0.033 (0.47),-0.854 (-5.26),0.506 (5.17),0.957 (4.11),0.437,0.097
BOCH,177,"98 (37,61)",-0.089 (-0.82),0.19 (0.74),0.104 (0.83),0.405 (1.5),0.352,0.091
BOCH,178,"518 (166,352)",-0.314 (-4.89),0.84 (8.25),-0.054 (-0.88),0.209 (2.02),0.336,0.104
BOCH,179,"627 (500,127)",0.082 (1.14),0.878 (11.64),0.022 (0.26),-0.033 (-0.37),0.508,0.084
BOCH,180,"920 (500,420)",0.152 (3.69),-0.057 (-0.93),0.006 (0.1),0.386 (3.87),0.137,0.118
BOCH,181,"567 (67,500)",-0.681 (-10.78),0.542 (10.12),-0.161 (-3.1),0.96 (7.19),0.588,0.074
BOCH,183,"54 (31,23)",0.226 (1.74),-0.32 (-2.68),0.142 (0.83),0.771 (3.05),0.762,0.049
BOCH,199,"512 (12,500)",0.54 (19.27),0.449 (5.8),0.393 (4.93),-0.29 (-3.39),0.693,0.085
BOCH,200,"363 (330,33)",0.005 (0.1),0.138 (1.84),0.231 (2.55),0.304 (3.1),0.347,0.045
BOCH,207,"414 (309,105)",0.344 (5.17),-0.087 (-1.05),-0.062 (-0.92),0.067 (0.74),0.172,0.064
BOCH,215,"765 (265,500)",0.58 (20.51),-0.031 (-0.56),0.201 (5.3),-0.012 (-0.19),0.613,0.11
BOCH,216,"1000 (500,500)",0.594 (21.47),-0.026 (-0.7),-0.18 (-3.58),-0.007 (-0.1),0.455,0.093
BOCH,217,"734 (500,234)",0.619 (15.28),-0.22 (-3.25),0.361 (5.51),0.242 (2.66),0.631,0.105
BRCR,72,"710 (500,210)",-0.259 (-5.56),0.524 (5.83),0.23 (2.76),0.864 (6.29),0.661,0.08
BRCR,74,"673 (500,173)",0.311 (7.77),0.425 (6.48),-0.235 (-4.68),0.086 (1.11),0.403,0.081
BRCR,78,"865 (500,365)",0.286 (7.12),-0.261 (-4.18),-0.017 (-0.27),0.632 (13.68),0.42,0.101
BRCR,88,"529 (500,29)",0.045 (0.83),0.464 (7.83),-0.11 (-1.6),1.355 (15.42),0.66,0.063
BRCR,89,"528 (500,28)",0.241 (3.82),0.853 (14.32),0.001 (0.01),-0.173 (-1.64),0.481,0.073
BRCR,90,"601 (500,101)",0.409 (8.51),0.414 (3.95),0.074 (0.96),-0.403 (-2.84),0.335,0.085
BRCR,94,"751 (251,500)",0.619 (11.03),-0.463 (-5.8),0.869 (17.44),0.264 (1.92),0.675,0.102
BRCR,95,"609 (500,109)",0.464 (10.55),0.496 (8.72),0.111 (1.83),0.207 (2.33),0.779,0.066
BRCR,100,"1000 (500,500)",0.098 (2.68),1.584 (27.15),-0.038 (-1.13),-0.394 (-4.21),0.772,0.076
BRCR,103,"578 (500,78)",0.1 (1.77),0.244 (2.5),0.038 (0.36),0.108 (0.85),0.107,0.111
BRCR,108,"526 (26,500)",0.759 (22.88),0.15 (2.31),0.185 (2.89),-0.393 (-3.59),0.581,0.107
BRCR,172,"526 (500,26)",0.584 (10.43),0.238 (3.94),0.134 (2.21),0.383 (4.42),0.596,0.061
BRCR,175,"581 (500,81)",0.839 (12.25),-0.69 (-9.62),-0.34 (-4.11),0.484 (4.48),0.266,0.085
BRCR,177,"98 (37,61)",-0.183 (-1.95),0.373 (1.68),0.021 (0.19),-0.383 (-1.64),0.023,0.078
BRCR,179,"627 (500,127)",0.224 (3.9),0.69 (11.55),-0.06 (-0.92),0.123 (1.81),0.628,0.066
BRCR,180,"920 (500,420)",0.014 (0.36),-0.037 (-0.62),0.056 (1),0.17 (1.77),0.018,0.112
BRCR,199,"512 (12,500)",0.269 (9.06),0.833 (11.01),0.199 (2.63),-0.187 (-2.18),0.614,0.09
BRCR,200,"363 (330,33)",-0.117 (-1.87),0.143 (1.47),0.224 (1.87),0.764 (6.18),0.436,0.057
BRCR,207,"414 (309,105)",-0.269 (-3.35),0.219 (2.18),-0.012 (-0.15),0.251 (2.3),0.06,0.077
BRCR,217,"734 (500,234)",-0.151 (-3.3),0.575 (7.63),0.465 (6.35),0.166 (1.65),0.387,0.118
BTNW,78,"865 (500,365)",0.394 (8.81),-0.149 (-2.14),0.03 (0.42),0.407 (7.98),0.352,0.112
BTNW,80,"488 (69,419)",0.425 (10.17),0.443 (7.34),-0.16 (-2.86),-0.492 (-6.06),0.391,0.095
BTNW,87,"157 (121,36)",0.795 (8.18),0.962 (7.08),-0.508 (-2.54),-1.029 (-4.52),0.725,0.068
BTNW,88,"529 (500,29)",0.079 (1.31),0.44 (6.31),0.127 (1.53),0.68 (6.58),0.465,0.073
BTNW,89,"528 (500,28)",0.268 (4.98),1.003 (18.17),-0.033 (-0.46),0.39 (4.34),0.7,0.065
BTNW,90,"601 (500,101)",0.167 (5.3),1.268 (19.48),-0.012 (-0.25),-0.866 (-10.44),0.481,0.056
BTNW,94,"751 (251,500)",0.464 (10.28),1.421 (20.9),-0.939 (-24.07),-0.492 (-4.25),0.806,0.082
BTNW,95,"609 (500,109)",0.273 (7.17),0.338 (6.9),-0.125 (-2.44),0.607 (8.04),0.752,0.057
BTNW,100,"1000 (500,500)",0.088 (3.49),1.429 (36.51),-0.003 (-0.11),0.371 (5.85),0.914,0.052
BTNW,103,"578 (500,78)",0.245 (4.81),0.073 (0.88),0.227 (2.49),0.061 (0.57),0.226,0.097
BTNW,104,"39 (26,13)",-0.254 (-1.97),0.948 (5.64),0.986 (4.13),0.562 (1.26),0.946,0.04
BTNW,108,"526 (26,500)",0.916 (60.21),0.008 (0.26),0.001 (0.05),-0.025 (-0.5),0.903,0.05
BTNW,136,"80 (31,49)",-0.367 (-2.2),0.283 (1.49),-0.224 (-1.21),1.09 (2.43),0.359,0.082
BTNW,207,"414 (309,105)",0.404 (6.63),-0.079 (-1.04),-0.387 (-6.28),0.187 (2.25),0.239,0.059
BTNW,216,"1000 (500,500)",0.56 (19.77),0.107 (2.79),-0.13 (-2.48),-0.159 (-2.12),0.427,0.096
BTNW,217,"734 (500,234)",0.079 (2.21),0.596 (9.98),0.252 (4.24),0.061 (0.76),0.52,0.093
CAWA,62,"121 (41,80)",0.429 (12.84),0.002 (0.04),0.278 (3.38),0.352 (6.54),0.977,0.021
CAWA,88,"529 (500,29)",0.372 (8.28),0.385 (7.75),0.105 (1.71),0.047 (0.61),0.574,0.056
CAWA,89,"528 (500,28)",0.254 (5.25),1.006 (21.45),-0.004 (-0.07),0.331 (4.36),0.752,0.057
CAWA,90,"601 (500,101)",0.282 (7.6),0.892 (10.97),0.108 (1.83),-1.244 (-11.83),0.243,0.065
CAWA,94,"751 (251,500)",0.112 (2.33),0.313 (4.76),-0.417 (-10.11),0.136 (1.19),0.258,0.085
CAWA,95,"609 (500,109)",0.372 (8.79),0.674 (12.12),-0.011 (-0.19),0.11 (1.29),0.773,0.063
CAWA,100,"1000 (500,500)",0.318 (20.13),1.031 (41.69),-0.018 (-1.23),0.146 (3.75),0.949,0.032
CAWA,136,"80 (31,49)",0.241 (0.95),0.264 (0.91),0.565 (2),-0.404 (-0.59),0.365,0.125
CAWA,216,"1000 (500,500)",0.163 (4.83),-0.263 (-5.7),0.212 (3.4),0.942 (10.98),0.375,0.111
CAWA,217,"734 (500,234)",0.186 (4.83),0.581 (9.16),0.139 (2.26),-0.012 (-0.14),0.479,0.099
CMWA,55,"166 (21,145)",0.383 (5.35),0.072 (0.51),0.191 (1.28),-0.011 (-0.06),0.218,0.125
CMWA,60,"563 (470,93)",0.024 (0.19),-0.245 (-3.38),0.025 (0.24),0.072 (0.73),0.023,0.107
CMWA,69,"1000 (500,500)",-0.044 (-2.15),-0.472 (-12.43),0.008 (0.16),1.36 (19.11),0.274,0.067
CMWA,71,"667 (500,167)",0.454 (14.25),-0.035 (-0.71),0.088 (1.51),0.096 (1.33),0.51,0.07
CMWA,87,"157 (121,36)",0.931 (10.16),0.209 (1.63),-0.263 (-1.4),0.313 (1.46),0.864,0.064
CMWA,88,"529 (500,29)",0.414 (9.42),0.422 (8.34),0.154 (2.68),-0.071 (-0.93),0.634,0.052
CMWA,89,"528 (500,28)",0.213 (4.24),1.007 (22.23),0.058 (0.9),0.259 (3.38),0.745,0.057
CMWA,90,"601 (500,101)",0.346 (7.84),0.128 (1.35),0.657 (9.29),-0.101 (-0.84),0.586,0.079
CMWA,94,"751 (251,500)",0.439 (14.42),0.987 (19.6),-0.127 (-4.45),-0.274 (-3.21),0.91,0.058
CMWA,95,"609 (500,109)",0.033 (0.7),0.862 (14.72),-0.186 (-2.92),0.58 (6.21),0.745,0.068
CMWA,100,"1000 (500,500)",0.004 (0.13),1.31 (29.5),-0.004 (-0.14),0.514 (7.22),0.881,0.058
CMWA,103,"578 (500,78)",0.183 (3.57),0.223 (2.54),0.358 (3.91),0.183 (1.66),0.326,0.1
CMWA,136,"80 (31,49)",0.065 (0.25),0.099 (0.33),0.589 (2.04),0.216 (0.31),0.415,0.127
CMWA,207,"414 (309,105)",-0.197 (-2.52),0.506 (5.15),0.184 (2.32),-0.025 (-0.23),0.292,0.075
CMWA,217,"734 (500,234)",0.123 (2.73),0.379 (5.11),0.139 (1.91),0.206 (2.03),0.344,0.115
OSFL,51,"241 (49,192)",1.114 (5.09),-2.571 (-6.61),1.593 (4.29),0.484 (1.48),0.501,0.079
OSFL,55,"166 (21,145)",0.229 (3.96),0.116 (1.01),-0.062 (-0.51),-0.002 (-0.01),0.127,0.101
OSFL,60,"563 (470,93)",0.004 (0.04),0.348 (6.78),0.348 (4.65),-0.423 (-6.05),0.216,0.076
OSFL,62,"121 (41,80)",-0.22 (-2.66),1.081 (10.92),0.315 (1.55),-1.026 (-7.68),0.648,0.053
OSFL,69,"1000 (500,500)",0.036 (2.03),0.847 (25.37),0.396 (8.67),0.298 (4.94),0.932,0.058
OSFL,71,"667 (500,167)",0.346 (10.6),0.752 (14.83),0.086 (1.45),-0.064 (-0.84),0.752,0.072
