Species,Ecoregion,Networks,CMI,GPP,LED,LCC,R2,RMSE
RUBL,170,"933 (500,433)",-0.109 (-1.88),0.033 (0.34),-0.127 (-1.82),0.414 (5.89),0.106,0.115
RUBL,171,"450 (130,320)",0.343 (2.97),-0.319 (-2.33),0.605 (5.85),0.022 (0.15),0.396,0.099
RUBL,172,"526 (500,26)",-0.305 (-4.02),0.549 (7.09),0.208 (2.79),1.067 (9.85),0.499,0.075
RUBL,175,"581 (500,81)",-0.116 (-1.67),0.379 (5.29),0.289 (3.63),-0.233 (-2.18),0.141,0.086
RUBL,176,"253 (100,153)",-0.183 (-2.6),-0.266 (-1.63),0.024 (0.24),0.641 (2.74),0.072,0.098
RUBL,177,"98 (37,61)",0.128 (1.34),0.41 (1.81),0.835 (7.56),-0.637 (-2.68),0.68,0.08
RUBL,178,"518 (166,352)",-0.31 (-4.47),0.612 (5.56),-0.06 (-0.92),0.111 (1),0.123,0.113
RUBL,179,"627 (500,127)",0.318 (4.97),0.658 (9.62),-0.222 (-2.94),-0.109 (-1.39),0.438,0.074
RUBL,180,"920 (500,420)",-0.093 (-1.98),-0.065 (-0.92),-0.03 (-0.45),0.542 (4.73),0.033,0.135
RUBL,181,"567 (67,500)",-0.737 (-7.74),-0.044 (-0.57),0.102 (1.35),2.216 (11.57),0.427,0.112
RUBL,183,"54 (31,23)",-0.04 (-0.32),-0.271 (-2.36),0.147 (0.89),0.545 (2.24),0.341,0.047
RUBL,199,"512 (12,500)",0.518 (21.85),0.202 (3.17),0.285 (4.06),-0.318 (-4.33),0.656,0.074
RUBL,200,"363 (330,33)",-0.187 (-2.94),-0.141 (-1.46),0.549 (4.67),-0.06 (-0.46),0.065,0.057
RUBL,207,"414 (309,105)",0.048 (0.5),0.48 (3.98),-0.472 (-4.84),-0.136 (-1.04),0.078,0.093
RUBL,215,"765 (265,500)",0.039 (1.07),0.113 (1.76),-0.131 (-3),0.155 (2.16),0.025,0.131
RUBL,216,"1000 (500,500)",0.113 (3.47),0.616 (13.3),0.204 (3.16),-0.084 (-0.95),0.483,0.116
RUBL,217,"734 (500,234)",-0.046 (-1.02),0.535 (7.24),0.43 (5.9),0.265 (2.54),0.47,0.114
SWTH,51,"241 (49,192)",0.439 (6.79),-0.078 (-0.68),-0.383 (-3.5),0.952 (9.85),0.973,0.023
SWTH,55,"166 (21,145)",0.279 (3.78),0.574 (3.93),-0.71 (-4.62),1.045 (5.24),0.504,0.129
SWTH,59,"652 (500,152)",0.685 (28.21),-0.089 (-2.43),-0.044 (-1.45),-0.077 (-1.9),0.713,0.044
SWTH,60,"563 (470,93)",0.063 (0.84),-0.052 (-1.19),0.413 (6.45),0.469 (7.84),0.429,0.065
SWTH,62,"121 (41,80)",-0.651 (-11.98),0.178 (2.74),0.244 (1.83),1.452 (16.57),0.875,0.035
SWTH,68,"441 (233,208)",0.773 (21.02),-0.197 (-2.75),0.077 (2.18),0.249 (3.44),0.866,0.074
SWTH,69,"1000 (500,500)",0.401 (20.66),0.543 (15.46),0.208 (4.16),0.546 (8.15),0.905,0.063
SWTH,70,"629 (500,129)",0.38 (7.58),-0.546 (-5.76),0.057 (0.62),0.794 (10.07),0.44,0.098
SWTH,71,"667 (500,167)",0.449 (10.73),0.276 (4.18),-0.023 (-0.29),-0.134 (-1.38),0.438,0.091
SWTH,72,"710 (500,210)",-0.116 (-2.99),1.355 (18.52),0.257 (3.79),0.743 (6.45),0.915,0.068
SWTH,74,"673 (500,173)",0.502 (10.14),0.992 (11.65),-0.585 (-9.52),0.12 (1.26),0.572,0.1
SWTH,77,"898 (500,398)",0.675 (25.06),0.426 (7.48),-0.079 (-1.53),-0.15 (-2.89),0.757,0.08
SWTH,78,"865 (500,365)",0.187 (4.4),1.147 (17.3),-0.1 (-1.46),-0.411 (-8.39),0.446,0.107
SWTH,80,"488 (69,419)",-0.044 (-0.7),0.664 (7.25),-0.09 (-1.06),-0.294 (-2.4),0.146,0.144
SWTH,87,"157 (121,36)",1.261 (20.35),0.212 (2.45),-0.833 (-6.54),-0.192 (-1.32),0.911,0.044
SWTH,88,"529 (500,29)",0.164 (2.16),-0.19 (-2.31),-0.383 (-3.69),0.884 (7.19),0.111,0.089
SWTH,89,"528 (500,28)",0.019 (0.4),0.63 (14.39),0.19 (3),1.03 (13.87),0.737,0.055
SWTH,90,"601 (500,101)",0.574 (16),0.507 (6.59),0.366 (6.66),-0.523 (-5.19),0.716,0.063
