ecozone,ecoregion,nets_rep,nets_nonrep,species,density_mean,density_cv,cmi_coef,cmi_tstat,gpp_coef,gpp_tstat,led_coef,led_tstat,lcc_coef,lcc_tstat,r2,rmse,pval,cmi_p,gpp_p,led_p,lcc_p
12,175,500,81,forestbirds,NA,NA,0.068,1.27,0.154,2.78,-0.228,-3.54,0.439,5.28,0.264,0.066,0.0000,0.2037,0.0056,0.0004,0.0000
12,176,100,153,forestbirds,NA,NA,-0.227,-3.46,0.344,2.26,-0.063,-0.68,0.091,0.42,0.036,0.091,0.0111,0.0006,0.0246,0.4945,0.6766
12,177,37,61,forestbirds,NA,NA,0.488,4.01,0.088,0.31,-0.530,-3.77,0.503,1.66,0.521,0.101,0.0000,0.0001,0.7600,0.0003,0.1003
12,178,166,352,forestbirds,NA,NA,0.073,1.06,-0.426,-3.90,0.158,2.44,0.378,3.42,0.057,0.112,0.0000,0.2911,0.0001,0.0152,0.0007
12,179,500,127,forestbirds,NA,NA,0.329,5.05,-0.270,-3.83,-0.179,-2.27,0.248,3.11,0.145,0.076,0.0000,0.0000,0.0001,0.0238,0.0020
12,180,500,420,forestbirds,NA,NA,0.424,11.28,-0.222,-3.96,0.194,3.61,-0.088,-0.96,0.250,0.108,0.0000,0.0000,0.0001,0.0003,0.3357
12,181,67,500,forestbirds,NA,NA,-1.024,-14.10,1.007,16.09,0.484,7.99,0.738,4.94,0.703,0.086,0.0000,0.0000,0.0000,0.0000,0.0000
12,183,31,23,forestbirds,NA,NA,0.271,1.77,-0.098,-0.70,0.169,0.84,-0.416,-1.40,-0.003,0.057,0.4350,0.0828,0.4876,0.4058,0.1682
14,199,12,500,forestbirds,NA,NA,-0.249,-8.61,0.518,6.86,0.179,2.36,-0.295,-3.22,0.142,0.091,0.0000,0.0000,0.0000,0.0187,0.0014
14,200,330,33,forestbirds,NA,NA,0.599,8.40,0.319,2.93,-0.114,-0.89,-0.381,-2.62,0.288,0.065,0.0000,0.0000,0.0036,0.3757,0.0092
14,207,309,105,forestbirds,NA,NA,0.148,1.93,-0.187,-1.95,0.036,0.47,0.760,7.29,0.384,0.074,0.0000,0.0539,0.0521,0.6390,0.0000
15,215,265,500,forestbirds,NA,NA,-0.072,-1.86,0.105,1.44,0.034,0.68,0.683,8.09,0.236,0.143,0.0000,0.0637,0.1492,0.4950,0.0000
15,216,500,500,forestbirds,NA,NA,0.194,5.61,0.503,10.52,-0.324,-5.19,0.175,1.89,0.352,0.116,0.0000,0.0000,0.0000,0.0000,0.0589
15,217,500,234,forestbirds,NA,NA,0.202,6.04,0.811,14.48,-0.165,-3.06,0.020,0.26,0.555,0.086,0.0000,0.0000,0.0000,0.0023,0.7981
4,51,49,192,allwaterfowl,NA,NA,0.078,0.42,-0.949,-2.85,-0.431,-1.36,1.282,4.57,0.306,0.067,0.0000,0.6785,0.0047,0.1755,0.0000
4,52,357,141,allwaterfowl,NA,NA,0.092,1.49,-0.132,-1.57,0.374,4.22,-0.048,-0.46,0.066,0.093,0.0000,0.1364,0.1177,0.0000,0.6447
4,53,76,500,allwaterfowl,NA,NA,-0.205,-9.75,0.077,1.98,1.638,46.71,-0.384,-8.30,0.964,0.025,0.0000,0.0000,0.0483,0.0000,0.0000
4,55,21,145,allwaterfowl,NA,NA,0.119,2.04,0.956,8.23,0.208,1.71,-0.827,-5.22,0.400,0.103,0.0000,0.0434,0.0000,0.0901,0.0000
4,59,500,152,allwaterfowl,NA,NA,0.002,0.03,-0.115,-1.59,0.141,2.39,0.119,1.49,0.030,0.088,0.0001,0.9730,0.1129,0.0173,0.1374
4,60,470,93,allwaterfowl,NA,NA,0.063,0.92,0.654,16.61,0.236,4.12,-0.034,-0.64,0.619,0.058,0.0000,0.3568,0.0000,0.0000,0.5215
4,62,41,80,allwaterfowl,NA,NA,-0.072,-1.85,0.336,7.19,0.025,0.26,-0.029,-0.46,0.629,0.025,0.0000,0.0667,0.0000,0.7962,0.6433
5,68,233,208,allwaterfowl,NA,NA,-0.155,-2.69,-0.184,-1.64,0.213,3.83,0.256,2.26,0.050,0.116,0.0000,0.0075,0.1027,0.0001,0.0244
5,69,500,500,allwaterfowl,NA,NA,0.773,44.82,0.108,3.31,-0.460,-10.32,-0.037,-0.60,0.730,0.058,0.0000,0.0000,0.0010,0.0000,0.5478
5,70,500,129,allwaterfowl,NA,NA,0.057,1.34,-0.255,-3.12,0.149,1.89,0.561,8.56,0.256,0.082,0.0000,0.1798,0.0019,0.0591,0.0000
5,71,500,167,allwaterfowl,NA,NA,0.004,0.11,0.260,4.68,0.128,1.90,-0.156,-1.83,0.110,0.080,0.0000,0.9124,0.0000,0.0574,0.0684
5,72,500,210,allwaterfowl,NA,NA,-0.124,-4.84,0.268,5.44,0.521,11.12,0.161,2.13,0.782,0.044,0.0000,0.0000,0.0000,0.0000,0.0338
5,74,500,173,allwaterfowl,NA,NA,0.169,3.40,0.086,0.98,0.088,1.41,-0.078,-0.82,0.101,0.098,0.0000,0.0007,0.3272,0.1592,0.4142
5,77,500,398,allwaterfowl,NA,NA,0.278,9.15,0.468,7.29,0.466,7.83,-0.328,-5.65,0.610,0.090,0.0000,0.0000,0.0000,0.0000,0.0000
5,78,500,365,allwaterfowl,NA,NA,0.629,17.12,-0.485,-8.49,0.262,4.59,0.176,4.22,0.445,0.093,0.0000,0.0000,0.0000,0.0000,0.0000
5,80,69,419,allwaterfowl,NA,NA,-0.040,-0.83,0.801,11.37,0.086,1.31,-0.785,-8.31,0.289,0.111,0.0000,0.4070,0.0000,0.1906,0.0000
6A,87,121,36,allwaterfowl,NA,NA,0.174,2.80,0.106,1.22,0.058,0.45,0.036,0.25,0.508,0.044,0.0000,0.0058,0.2231,0.6516,0.8049
6A,88,500,29,allwaterfowl,NA,NA,-0.113,-2.05,0.015,0.25,0.222,3.08,0.373,4.18,0.088,0.064,0.0000,0.0412,0.8021,0.0022,0.0000
6A,89,500,28,allwaterfowl,NA,NA,-0.020,-0.41,0.021,0.43,0.602,9.91,-0.150,-1.92,0.217,0.058,0.0000,0.6836,0.6674,0.0000,0.0548
6A,90,500,101,allwaterfowl,NA,NA,-0.039,-2.02,-0.016,-0.37,0.829,26.55,0.092,1.65,0.782,0.034,0.0000,0.0439,0.7140,0.0000,0.0989
6A,94,251,500,allwaterfowl,NA,NA,-0.090,-2.98,-0.387,-8.57,0.012,0.46,0.776,10.09,0.179,0.054,0.0000,0.0030,0.0000,0.6456,0.0000
6A,95,500,109,allwaterfowl,NA,NA,-0.027,-0.65,0.552,10.36,0.714,12.87,-0.537,-6.58,0.587,0.061,0.0000,0.5154,0.0000,0.0000,0.0000
6A,100,500,500,allwaterfowl,NA,NA,0.328,8.63,-0.416,-6.74,0.741,20.79,-0.088,-0.88,0.535,0.080,0.0000,0.0000,0.0000,0.0000,0.3800
6A,103,500,78,allwaterfowl,NA,NA,-0.247,-5.44,0.320,4.11,0.546,6.29,0.308,3.06,0.258,0.090,0.0000,0.0000,0.0000,0.0000,0.0024
6A,104,26,13,allwaterfowl,NA,NA,-0.513,-2.05,1.562,4.78,0.955,2.06,1.298,1.49,0.904,0.078,0.0000,0.0484,0.0000,0.0470,0.1446
6A,105,500,305,allwaterfowl,NA,NA,-0.006,-0.12,0.406,7.86,0.528,6.82,-0.332,-4.17,0.346,0.100,0.0000,0.9073,0.0000,0.0000,0.0000
6B,108,26,500,allwaterfowl,NA,NA,0.022,0.45,0.491,5.00,-0.085,-0.89,0.527,3.09,0.097,0.163,0.0000,0.6562,0.0000,0.3758,0.0021
9,136,31,49,allwaterfowl,NA,NA,-0.175,-1.64,0.750,6.16,0.128,1.08,-0.161,-0.56,0.681,0.052,0.0000,0.1048,0.0000,0.2830,0.5757
