ecoregion,species,cmi_tstat,gpp_tstat,led_tstat,lcc_tstat,cmi,gpp,led,lcc
69,allwaterfowl,44.82,3.31,10.32,0.6,1,0,0,0
70,allwaterfowl,1.34,3.12,1.89,8.56,0,0,0,1
71,allwaterfowl,0.11,4.68,1.9,1.83,0,1,0,0
72,allwaterfowl,4.84,5.44,11.12,2.13,0,0,1,0
74,allwaterfowl,3.4,0.98,1.41,0.82,1,0,0,0
77,allwaterfowl,9.15,7.29,7.83,5.65,1,0,0,0
78,allwaterfowl,17.12,8.49,4.59,4.22,1,0,0,0
80,allwaterfowl,0.83,11.37,1.31,8.31,0,1,0,0
87,allwaterfowl,2.8,1.22,0.45,0.25,1,0,0,0
88,allwaterfowl,2.05,0.25,3.08,4.18,0,0,0,1
89,allwaterfowl,0.41,0.43,9.91,1.92,0,0,1,0
90,allwaterfowl,2.02,0.37,26.55,1.65,0,0,1,0
94,allwaterfowl,2.98,8.57,0.46,10.09,0,0,0,1
95,allwaterfowl,0.65,10.36,12.87,6.58,0,0,1,0
100,allwaterfowl,8.63,6.74,20.79,0.88,0,0,1,0
103,allwaterfowl,5.44,4.11,6.29,3.06,0,0,1,0
104,allwaterfowl,2.05,4.78,2.06,1.49,0,1,0,0
105,allwaterfowl,0.12,7.86,6.82,4.17,0,1,0,0
108,allwaterfowl,0.45,5,0.89,3.09,0,1,0,0
136,allwaterfowl,1.64,6.16,1.08,0.56,0,1,0,0
165,allwaterfowl,4.4,2.5,12.77,4.08,0,0,1,0
166,allwaterfowl,2.96,0.04,14.71,1.11,0,0,1,0
168,allwaterfowl,3.26,3.89,2.63,3.18,0,1,0,0
170,allwaterfowl,4.09,0.55,3.63,4.3,0,0,0,1
171,allwaterfowl,0.47,1.86,3.18,4.03,0,0,0,1
172,allwaterfowl,2.48,2.32,1.43,3.57,0,0,0,1
175,allwaterfowl,1.81,2.5,11.7,3.4,0,0,1,0
176,allwaterfowl,8.23,6.42,4.34,1.89,1,0,0,0
177,allwaterfowl,5.05,3.06,0.47,3.75,1,0,0,0
178,allwaterfowl,9.06,1.24,3.84,7.46,1,0,0,0
179,allwaterfowl,1.91,2.03,3.53,7.89,0,0,0,1
180,allwaterfowl,2.64,2.66,3.85,3.94,0,0,0,1
181,allwaterfowl,2.42,0.17,20.48,0.61,0,0,1,0
183,allwaterfowl,0.86,2.1,1.13,2.32,0,0,0,1
199,allwaterfowl,10.82,3.24,3.21,1.19,1,0,0,0
200,allwaterfowl,6.68,3.48,0.99,4.48,1,0,0,0
207,allwaterfowl,2.22,2.7,3.06,2.57,0,0,1,0
215,allwaterfowl,0.81,2.96,1.24,2.54,0,1,0,0
216,allwaterfowl,4.77,1.93,0.48,4.01,1,0,0,0
217,allwaterfowl,0.74,12.16,4.99,4.44,0,1,0,0
51,cavitynesters,7.43,7.56,2.3,6.89,0,1,0,0
52,cavitynesters,1.09,4.15,6.03,15.3,0,0,0,1
53,cavitynesters,2.47,2.8,12.2,4.63,0,0,1,0
55,cavitynesters,2.99,1,0.94,4.4,0,0,0,1
59,cavitynesters,4.72,5.72,2.41,1.81,0,1,0,0
60,cavitynesters,6.47,1.86,4.04,7.76,0,0,0,1
62,cavitynesters,3.68,2.44,2.43,1.65,1,0,0,0
68,cavitynesters,3.04,7.97,10.26,7.32,0,0,1,0
69,cavitynesters,10.36,9.82,0.08,17.09,0,0,0,1
70,cavitynesters,3.2,2.39,8.94,2.26,0,0,1,0
71,cavitynesters,5.73,4.23,1.68,0.97,1,0,0,0
72,cavitynesters,3.31,5.84,3.9,8.96,0,0,0,1
74,cavitynesters,3.89,0.08,0.65,6.55,0,0,0,1
77,cavitynesters,5.6,2.43,6.68,0.8,0,0,1,0
78,cavitynesters,3.58,11.01,5.38,30.1,0,0,0,1
80,cavitynesters,6.87,4.15,6.91,5.78,0,0,1,0
87,cavitynesters,2.65,0.06,0.54,2.68,0,0,0,1
88,cavitynesters,1.51,0.37,5.49,0.29,0,0,1,0
89,cavitynesters,2.67,3,19.77,4.45,0,0,1,0
90,cavitynesters,1.56,2.7,33,3.91,0,0,1,0
94,cavitynesters,3.94,3.87,9.04,9.36,0,0,0,1
95,cavitynesters,0.04,5.06,6.05,8.41,0,0,0,1
100,cavitynesters,12.3,4.08,15.16,0.89,0,0,1,0
103,cavitynesters,0.91,3.8,4.53,0.23,0,0,1,0
104,cavitynesters,1.23,0.16,4.35,0.31,0,0,1,0
105,cavitynesters,5.29,5.87,1.65,4.41,0,1,0,0
108,cavitynesters,1.94,4.8,0.96,3.5,0,1,0,0
136,cavitynesters,2.6,1.72,0.25,0.54,1,0,0,0
165,cavitynesters,5.55,2.67,6.64,10.51,0,0,0,1
166,cavitynesters,8.58,2.85,10.62,1.97,0,0,1,0
168,cavitynesters,5.57,0.86,8.96,4.29,0,0,1,0
