Group,Code,Name,Latin_name,Forest,Conifer,Deciduous,Mixedwood,Grassland,NeoMigrant,ShortMigrant,Nomadic,Resident,Declining,LowConcern,CavityNesters,GroundNesters,OverwaterNesters
,WIWR,Winter Wren,Cardellina pusilla,1,,,1,,,1,,,,1,,,
,WTSP,White-throated Sparrow,Troglodytes hiemalis,1,,,1,,,1,,,,1,,,
,WWCR,White-winged Crossbill,Zonotrichia albicollis,1,1,,,,,,1,,,1,,,
,YBFL,Yellow-bellied Flycatcher,Empidonax flaviventris,,,,1,,1,,,,,1,,,
,YRWA,Yellow-rumped Warbler,Setophaga coronata,1,,,1,,,1,,,,1,,,
,YWAR,Yellow Warbler,Setophaga petechia,1,,1,,,1,,,,,1,,,
Waterfowl,ABDU,American Black Duck,Anas rubripes,,,,,,,,,,,,,1,
,AGWT,Green-winged Teal,Anas crecca,,,,,,,,,,,,,1,
,AMWI,American Wigeon,Anas americana,,,,,,,,,,,,,1,
,BUFF,Bufflehead,Bucephala albeola,,,,,,,,,,,,1,,
,BWTE,Blue-winged Teal,Anas discors,,,,,,,,,,,,,1,
,CANV,Canvasback,Aythya valisineria,,,,,,,,,,,,,,1
,GADW,Gadwall,Anas strepera,,,,,,,,,,,,,1,
,GGOL,Goldeneye species,Bucephala clangula,,,,,,,,,,,,1,,
,,,Bucephala islandica,,,,,,,,,,,,1,,
,GMER,Merganser species,Mergus merganser,,,,,,,,,,,,1,,
,,,Mergus serrator,,,,,,,,,,,,1,,
,,,Lophodytes cucullatus,,,,,,,,,,,,1,,
,GSCA,Scaup species,Aythya affinis,,,,,,,,,,,,,,1
,,,Aythya marila,,,,,,,,,,,,,,1
,GSCO,Scoter species,Melanitta americana,,,,,,,,,,,,,1,
,,,Melanitta fusca,,,,,,,,,,,,,1,
,,,Melanitta perspicillata,,,,,,,,,,,,,1,
