zone,species,area,data,pct,min,mean,median,p80,p90,p95,max
62,osfl,3432,3432,100,0.1821,0.3738,0.3652,0.4778,0.5438,0.6256,0.8564
62,pigr,3432,3432,100,0.332,0.4886,0.4629,0.551,0.6015,0.653,1.7564
62,rubl,3432,3432,100,0.3187,0.6421,0.5518,0.8841,1.0373000000000001,1.1479,1.507
62,swth,3432,3432,100,0.0619,0.1398,0.1393,0.1661,0.1848,0.2021,0.2772
62,wwcr,3432,3432,100,0.1643,0.3484,0.2986,0.3852,0.4909,0.6692,1.9605
63,blbw,6232,0,0,0,0,0,0,0,0,0
63,boch,6232,6232,100,0.0953,0.1858,0.1728,0.2049,0.2519,0.3084,0.7392
63,brcr,6232,0,0,0,0,0,0,0,0,0
63,btnw,6232,0,0,0,0,0,0,0,0,0
63,cawa,6232,0,0,0,0,0,0,0,0,0
63,cmwa,6232,6196,99,0.5827,0.8731,0.8225,0.953,1.0294,1.1618,3.4275
63,osfl,6232,6116,98,0.3539,0.6057,0.5814,0.7299,0.765,0.8027,1.1824
63,pigr,6232,6232,100,0.349,0.4789,0.4603,0.5433,0.5765,0.6047,1.4111
63,rubl,6232,6232,100,0.6429,0.9821,0.9817,1.0682,1.1123,1.1953,1.6249
63,swth,6232,6232,100,0.0697,0.1522,0.1368,0.1723,0.2373,0.274,0.3591
63,wwcr,6232,6232,100,0.2167,0.6375,0.4511,0.8709,1.3148,1.5856,2.6285
64,blbw,32792,0,0,0,0,0,0,0,0,0
64,boch,32792,30680,94,0.0864,0.2668,0.2585,0.3275,0.3497,0.3724,0.8346
64,brcr,32792,0,0,0,0,0,0,0,0,0
64,btnw,32792,0,0,0,0,0,0,0,0,0
64,cawa,32792,4196,13,0.2633,0.5703,0.5414,0.6949,0.799,0.9609,1.6681
64,cmwa,32792,21704,66,0.2471,0.6442,0.5582,0.8018,0.9861,1.0943,2.6585
64,osfl,32792,30680,94,0.1488,0.3904,0.2986,0.546,0.6342,0.7523,1.7223
64,pigr,32792,30680,94,0.2743,0.4105,0.4005,0.443,0.4761,0.5019,1.0745
64,rubl,32792,30680,94,0.3224,0.7472,0.6566,0.9836,1.2006,1.4319,2.2881
64,swth,32792,30612,93,0.0519,0.1245,0.1151,0.1428,0.1698,0.2095,0.6362
64,wwcr,32792,32792,100,0.1611,0.5894,0.3265,0.7456,1.4084,2.5335,2.9557
65,blbw,18956,0,0,0,0,0,0,0,0,0
65,boch,18956,18956,100,0.1164,0.2237,0.2082,0.2437,0.2908,0.3585,0.8353
65,brcr,18956,0,0,0,0,0,0,0,0,0
65,btnw,18956,0,0,0,0,0,0,0,0,0
65,cawa,18956,752,4,0.4152,1.3316,1.4109,1.6685,1.7122,1.732,1.7934
65,cmwa,18956,7644,40,0.4041,0.5795,0.5411,0.5867,0.6394,0.7063,2.7884
65,osfl,18956,18956,100,0.1758,0.3311,0.2954,0.3996,0.4618,0.5536,1.2201
65,pigr,18956,18956,100,0.2655,0.4343,0.4098,0.4828,0.5507,0.6192,1.0875
65,rubl,18956,18956,100,0.2924,0.537,0.496,0.6231,0.7714,0.9149,1.6087
65,swth,18956,18956,100,0.0558,0.1312,0.1232,0.1499,0.1697,0.2018,0.6195
65,wwcr,18956,18956,100,0.1481,0.3328,0.2651,0.3447,0.4288,0.6738,2.7597
66,blbw,5988,0,0,0,0,0,0,0,0,0
66,boch,5988,5988,100,0.1874,0.321,0.3002,0.3698,0.4248,0.4791,0.8715
66,brcr,5988,0,0,0,0,0,0,0,0,0
66,btnw,5988,0,0,0,0,0,0,0,0,0
66,cawa,5988,68,1,0.5255,1.1068,1.135,1.2987,1.4147,1.4468,1.4659
66,cmwa,5988,0,0,0,0,0,0,0,0,0
66,osfl,5988,5988,100,0.1855,0.2658,0.2639,0.2936,0.3142,0.3293,0.4578
66,pigr,5988,5988,100,0.2911,0.4566,0.3856,0.527,0.6595,0.8331,2.1043
66,rubl,5988,5988,100,0.3223,0.4195,0.4058,0.4719,0.4963,0.5477,0.7466
66,swth,5988,5988,100,0.0549,0.1175,0.1137,0.1361,0.1549,0.1764,0.3933
66,wwcr,5988,5988,100,0.1561,0.2652,0.2491,0.2891,0.3373,0.3883,2.1729
68,blbw,34172,0,0,0,0,0,0,0,0,0
68,boch,34172,30340,89,0.1879,0.3474,0.3456,0.3762,0.416,0.443,1.2253
68,brcr,34172,0,0,0,0,0,0,0,0,0
68,btnw,34172,0,0,0,0,0,0,0,0,0
68,cawa,34172,0,0,0,0,0,0,0,0,0
68,cmwa,34172,0,0,0,0,0,0,0,0,0
68,osfl,34172,0,0,0,0,0,0,0,0,0
68,pigr,34172,11416,33,0.4057,0.6395,0.6405,0.7048,0.7405,0.7762,1.575
68,rubl,34172,14364,42,0.5926,1.3235,1.3349,1.5566,1.678,1.7757,2.6102
68,swth,34172,1796,5,0.1516,0.2186,0.2028,0.2445,0.3029,0.3455,0.4014
68,wwcr,34172,27956,82,0.3233,0.5242,0.5204,0.5779,0.605,0.6564,3.2301
69,blbw,29860,0,0,0,0,0,0,0,0,0
69,boch,29860,26140,88,0.1114,0.2934,0.3193,0.3411,0.3564,0.3918,0.9291
69,brcr,29860,0,0,0,0,0,0,0,0,0
69,btnw,29860,0,0,0,0,0,0,0,0,0
69,cawa,29860,12,0,0.5555,0.6291,0.62,0.6751,0.6935,0.7027,0.7119
69,cmwa,29860,16528,55,0.2998,0.769,0.731,0.8709,0.9871,1.2408,2.8245
69,osfl,29860,11360,38,0.1634,0.459,0.4592,0.5211,0.6057,0.6907,0.9275
69,pigr,29860,26180,88,0.2516,0.5021,0.5007,0.5699,0.6158,0.665,1.5371
69,rubl,29860,26136,88,0.3443,0.9653,0.9786,1.2031,1.3339,1.4802,2.3569
69,swth,29860,22572,76,0.065,0.1663,0.1587,0.208,0.2386,0.2738,0.4501
69,wwcr,29860,29860,100,0.1646,0.6258,0.4272,0.6201,1.2954,2.4641,3.2205
70,blbw,45120,0,0,0,0,0,0,0,0,0
70,boch,45120,19436,43,0.1607,0.3104,0.3392,0.3696,0.389,0.4213,0.6617
70,brcr,45120,0,0,0,0,0,0,0,0,0
70,btnw,45120,0,0,0,0,0,0,0,0,0
70,cawa,45120,0,0,0,0,0,0,0,0,0
70,cmwa,45120,0,0,0,0,0,0,0,0,0
70,osfl,45120,0,0,0,0,0,0,0,0,0
70,pigr,45120,1908,4,0.5915,0.7486,0.6975,0.838,0.9811,1.0723,1.518
70,rubl,45120,17208,38,0.389,1.379,1.3539,1.9239,2.1201,2.2713,2.918
70,swth,45120,392,1,0.2062,0.2504,0.2535,0.2613,0.2641,0.2669,0.3191
70,wwcr,45120,33908,75,0.2384,0.5682,0.5328,0.6562,0.7096,0.767,3.2981
71,blbw,49280,0,0,0,0,0,0,0,0,0
71,boch,49280,49228,100,0.1355,0.2311,0.2045,0.2618,0.3399,0.368,1.0762
71,brcr,49280,0,0,0,0,0,0,0,0,0
71,btnw,49280,0,0,0,0,0,0,0,0,0
71,cawa,49280,0,0,0,0,0,0,0,0,0
71,cmwa,49280,7008,14,0.5134,0.8392,0.8201,0.9814,1.0636,1.1431,2.0398
71,osfl,49280,10896,22,0.1763,0.3912,0.3685,0.5042,0.5973,0.6457,0.918
71,pigr,49280,34124,69,0.4225,0.6228,0.6056,0.6819,0.7345,0.7925,2.2243
71,rubl,49280,49228,100,0.2986,0.9307,0.915,1.2773,1.4073,1.5115,2.8748
71,swth,49280,37448,76,0.0941,0.215,0.2195,0.2523,0.2654,0.277,0.5853
71,wwcr,49280,49280,100,0.1692,0.434,0.3604,0.4643,0.5896,0.8099,3.0422
72,blbw,31064,0,0,0,0,0,0,0,0,0
72,boch,31064,29456,95,0.2697,0.5883,0.5664,0.7023,0.8074,0.9121,2.5868
72,brcr,31064,2284,7,0.2729,0.3473,0.3464,0.3617,0.3675,0.3747,0.4859
72,btnw,31064,0,0,0,0,0,0,0,0,0
72,cawa,31064,0,0,0,0,0,0,0,0,0
72,cmwa,31064,0,0,0,0,0,0,0,0,0
72,osfl,31064,12260,39,0.2072,0.4491,0.3343,0.6188,0.837,0.9634,1.1758
72,pigr,31064,30880,99,0.4291,0.8812,0.7816,1.0856,1.3514,1.5299,2.8426
72,rubl,31064,29460,95,0.6388,1.3897,1.3934,1.5791,1.674,1.7989,3.0677
72,swth,31064,19060,61,0.1089,0.2524,0.268,0.3048,0.3168,0.3296,0.3822
72,wwcr,31064,27908,90,0.2209,0.4554,0.4013,0.4964,0.6076,0.7457,3.0362
73,blbw,20712,0,0,0,0,0,0,0,0,0
73,boch,20712,12580,61,0.3722,0.6188,0.6154,0.6621,0.6891,0.7426,1.2643
73,brcr,20712,0,0,0,0,0,0,0,0,0
73,btnw,20712,0,0,0,0,0,0,0,0,0
73,cawa,20712,0,0,0,0,0,0,0,0,0
73,cmwa,20712,0,0,0,0,0,0,0,0,0
73,osfl,20712,0,0,0,0,0,0,0,0,0
73,pigr,20712,4424,21,0.4983,1.5291,1.5967,1.7017,1.7515,1.8041,1.9707
73,rubl,20712,3424,17,0.6367,1.2882,1.2431,1.4906,1.5955,1.6776,2.261
73,swth,20712,0,0,0,0,0,0,0,0,0
73,wwcr,20712,196,1,0.3342,0.6242,0.6655,0.7983,0.8451,0.8941,0.9309
74,blbw,46732,0,0,0,0,0,0,0,0,0
74,boch,46732,46732,100,0.1895,0.9482,0.9503,1.1735,1.2906,1.3556,2.2569
74,brcr,46732,332,1,0.4189,0.5678,0.5815,0.6247,0.6396,0.6887,0.7552
74,btnw,46732,0,0,0,0,0,0,0,0,0
74,cawa,46732,0,0,0,0,0,0,0,0,0
74,cmwa,46732,0,0,0,0,0,0,0,0,0
74,osfl,46732,18128,39,0.2218,0.3172,0.2997,0.3255,0.3606,0.478,1.0195
74,pigr,46732,43960,94,0.5647,1.115,1.0389,1.3514,1.4983,1.6162,3.589
74,rubl,46732,43428,93,0.3821,0.9935,0.9448,1.3097,1.4747,1.6018,2.7923
74,swth,46732,29632,63,0.1815,0.3047,0.3092,0.3385,0.3493,0.356,0.3897
74,wwcr,46732,30796,66,0.2944,0.4748,0.4381,0.4943,0.547,0.6604,2.2499
75,blbw,22376,0,0,0,0,0,0,0,0,0
75,boch,22376,15964,71,0.1808,0.4657,0.4389,0.5708,0.6603,0.7814,1.4783
75,brcr,22376,0,0,0,0,0,0,0,0,0
75,btnw,22376,0,0,0,0,0,0,0,0,0
75,cawa,22376,0,0,0,0,0,0,0,0,0
75,cmwa,22376,0,0,0,0,0,0,0,0,0
75,osfl,22376,0,0,0,0,0,0,0,0,0
75,pigr,22376,18612,83,0.5058,0.9688,0.9154,1.2108,1.362,1.4731,2.6009
75,rubl,22376,16396,73,0.385,0.6596,0.6077,0.7197,0.8854,1.0312,1.7995
75,swth,22376,148,1,0.2513,0.2872,0.2861,0.2974,0.2997,0.3008,0.3051
75,wwcr,22376,7384,33,0.1618,0.3168,0.3059,0.3743,0.4088,0.439,1.1981
76,blbw,5788,0,0,0,0,0,0,0,0,0
76,boch,5788,984,17,0.3067,0.5385,0.5236,0.6277,0.6514,0.6732,0.931
76,brcr,5788,0,0,0,0,0,0,0,0,0
76,btnw,5788,0,0,0,0,0,0,0,0,0
76,cawa,5788,0,0,0,0,0,0,0,0,0
76,cmwa,5788,0,0,0,0,0,0,0,0,0
76,osfl,5788,0,0,0,0,0,0,0,0,0
76,pigr,5788,3488,60,0.5198,1.0524,1.1528,1.2405,1.3301,1.4114,2.032
76,rubl,5788,1748,30,0.4628,0.5915,0.5813,0.636,0.673,0.7087,1.3123
76,swth,5788,0,0,0,0,0,0,0,0,0
76,wwcr,5788,1484,26,0.2181,0.4308,0.3868,0.592,0.6714,0.7049,0.7946
77,blbw,17848,0,0,0,0,0,0,0,0,0
77,boch,17848,13368,75,0.3276,0.7657,0.7227,0.9717,1.1196,1.1903,1.9166
77,brcr,17848,0,0,0,0,0,0,0,0,0
77,btnw,17848,0,0,0,0,0,0,0,0,0
77,cawa,17848,0,0,0,0,0,0,0,0,0
77,cmwa,17848,0,0,0,0,0,0,0,0,0
77,osfl,17848,0,0,0,0,0,0,0,0,0
77,pigr,17848,17428,98,0.5178,1.1705,1.163,1.3785,1.5295,1.6274,2.9276
77,rubl,17848,16488,92,0.3237,0.6717,0.6245,0.8209,0.9713,1.0982,1.6525
77,swth,17848,1352,8,0.0733,0.1994,0.1988,0.2567,0.2718,0.2786,0.2929
77,wwcr,17848,17612,99,0.1696,0.5054,0.501,0.6317,0.6939,0.7555,2.62
78,blbw,21596,0,0,0,0,0,0,0,0,0
78,boch,21596,20236,94,0.4043,0.6926,0.6583,0.8428,0.941,1.0484,2.1317
78,brcr,21596,1380,6,0.2877,0.3871,0.3621,0.4263,0.483,0.5209,0.8411
78,btnw,21596,3532,16,0.6798,0.9918,0.9866,1.0873,1.1052,1.1167,1.5523
78,cawa,21596,0,0,0,0,0,0,0,0,0
78,cmwa,21596,0,0,0,0,0,0,0,0,0
78,osfl,21596,9340,43,0.2474,0.3838,0.3201,0.4409,0.5961,0.7244,1.3347
78,pigr,21596,21580,100,0.5183,0.8275,0.7878,0.9351,1.0598,1.1936,3.1067
78,rubl,21596,20236,94,0.3262,0.6866,0.7027,0.8036,0.8667,0.9631,1.5602
78,swth,21596,17812,82,0.0846,0.2043,0.2051,0.2463,0.2686,0.2852,0.3367
78,wwcr,21596,21580,100,0.181,0.5399,0.4383,0.6294,0.8049,1.0416,2.8221
79,blbw,2696,0,0,0,0,0,0,0,0,0
79,boch,2696,1460,54,0.5074,0.776,0.7418,0.8708,0.9657,1.182,2.0018
79,brcr,2696,0,0,0,0,0,0,0,0,0
79,btnw,2696,148,5,0.9631,1.0248,1.023,1.0423,1.0553,1.0709,1.0807
79,cawa,2696,0,0,0,0,0,0,0,0,0
79,cmwa,2696,0,0,0,0,0,0,0,0,0
79,osfl,2696,0,0,0,0,0,0,0,0,0
79,pigr,2696,2132,79,0.5377,1.0545,0.9782,1.2462,1.6899,1.9472,3.1204
79,rubl,2696,1964,73,0.3246,0.4549,0.4061,0.4785,0.6597,0.79990000000000006,1.1248
79,swth,2696,944,35,0.0861,0.1476,0.135,0.1855,0.1968,0.213,0.2337
79,wwcr,2696,2240,83,0.2202,0.4856,0.4567,0.6323,0.7049,0.7493,1.0639
80,blbw,14148,0,0,0,0,0,0,0,0,0
80,boch,14148,14128,100,0.3179,0.6415,0.6106,0.8098,0.9265,1.0051,1.4768
80,brcr,14148,0,0,0,0,0,0,0,0,0
80,btnw,14148,5740,41,0.4839,0.7908,0.7855,0.9148,0.9553,1.1543,1.7426
80,cawa,14148,0,0,0,0,0,0,0,0,0
80,cmwa,14148,0,0,0,0,0,0,0,0,0
80,osfl,14148,2260,16,0.2264,0.3691,0.3555,0.4127,0.4988,0.572,0.6721
80,pigr,14148,14148,100,0.5378,0.9727,0.8792,1.1292,1.3435,1.7585,2.9821
80,rubl,14148,14128,100,0.3314,0.5484,0.4688,0.7371,0.835,0.925,1.7283
80,swth,14148,14128,100,0.0819,0.1675,0.1634,0.1905,0.2084,0.2262,0.3122
80,wwcr,14148,14148,100,0.2215,0.4122,0.3896,0.4772,0.5367,0.5993,2.224
82,blbw,3368,0,0,0,0,0,0,0,0,0
82,boch,3368,3368,100,0.3591,0.5477,0.5205,0.6416,0.7205,0.7983,1.0582
82,brcr,3368,0,0,0,0,0,0,0,0,0
82,btnw,3368,116,3,0.5472,0.5985,0.5835,0.6179,0.6596,0.7063,0.7574
82,cawa,3368,0,0,0,0,0,0,0,0,0
82,cmwa,3368,0,0,0,0,0,0,0,0,0
82,osfl,3368,0,0,0,0,0,0,0,0,0
82,pigr,3368,3368,100,0.6754,1.1523,1.1043,1.2956,1.5456,1.7777,2.6269
82,rubl,3368,3368,100,0.3426,0.3887,0.3812,0.4065,0.4301,0.4566,0.6161
82,swth,3368,3368,100,0.0898,0.1639,0.1621,0.189,0.2044,0.2145,0.2427
82,wwcr,3368,3368,100,0.2397,0.4238,0.3855,0.4952,0.584,0.6542,1.02
84,blbw,792,0,0,0,0,0,0,0,0,0
84,boch,792,792,100,0.5665,0.947,0.9563,1.0573,1.1064,1.1598,1.3062
84,brcr,792,0,0,0,0,0,0,0,0,0
84,btnw,792,0,0,0,0,0,0,0,0,0
84,cawa,792,0,0,0,0,0,0,0,0,0
84,cmwa,792,0,0,0,0,0,0,0,0,0
84,osfl,792,0,0,0,0,0,0,0,0,0
84,pigr,792,792,100,0.6483,0.9589,0.9034,1.0825,1.3142,1.4712,1.7961
84,rubl,792,792,100,0.4757,0.7066,0.6938,0.7959,0.8777,0.9542,1.0684
