zone,species,area,data,pct,min,mean,median,p80,p90,p95,max
58,pigr,1688,1688,100,0.0051,0.0092,0.008,0.013,0.0135,0.0138,0.0196
58,rubl,1688,1688,100,0.0048,0.0077,0.0066,0.0098,0.0119,0.0131,0.0161
58,swth,1688,1688,100,0.1018,0.2181,0.2176,0.2708,0.2829,0.2954,0.3179
58,wwcr,1688,1688,100,0.0755,0.1118,0.0905,0.1302,0.173,0.2032,0.4436
59,blbw,6800,6800,100,0.0015,0.0027,0.0026,0.0032,0.0033,0.0034,0.0036
59,boch,6800,6800,100,0.0333,0.0464,0.0475,0.0486,0.0492,0.0498,0.0649
59,brcr,6800,6800,100,0.0125,0.014,0.0137,0.0153,0.0157,0.0158,0.0165
59,btnw,6800,6800,100,0.0022,0.0033,0.0033,0.0037,0.0037,0.0039,0.0045
59,cawa,6800,6800,100,0.002,0.0024,0.0024,0.0025,0.0025,0.0026,0.0048
59,cmwa,6800,6800,100,0.0046,0.0091,0.0069,0.0131,0.0158,0.0169,0.0481
59,osfl,6800,6800,100,0.0032,0.0047,0.0045,0.0049,0.0053,0.0068,0.009
59,pigr,6800,6800,100,0.0046,0.0105,0.011,0.0129,0.0136,0.014,0.0149
59,rubl,6800,6800,100,0.0039,0.0123,0.0116,0.0161,0.0188,0.0202,0.0258
59,swth,6800,6800,100,0.1394,0.2371,0.2431,0.2636,0.311,0.3372,0.3605
59,wwcr,6800,6800,100,0.0407,0.0735,0.0722,0.0815,0.0835,0.0851,0.1977
60,blbw,11084,11084,100,0.0014,0.0028,0.0028,0.0032,0.0033,0.0033,0.0035
60,boch,11084,11084,100,0.0319,0.0438,0.0434,0.0462,0.0474,0.0481,0.0531
60,brcr,11084,11084,100,0.0122,0.015,0.0152,0.0161,0.0163,0.0164,0.0168
60,btnw,11084,11084,100,0.0024,0.0033,0.0033,0.0035,0.0036,0.0037,0.0044
60,cawa,11084,11084,100,0.0019,0.0023,0.0023,0.0025,0.0026,0.0027,0.0052
60,cmwa,11084,11084,100,0.0043,0.0137,0.0081,0.0125,0.0355,0.0498,0.0715
60,osfl,11084,11084,100,0.0026,0.0047,0.0043,0.0055,0.006,0.0073,0.0091
60,pigr,11084,11084,100,0.0044,0.006,0.0057,0.0064,0.0074,0.0083,0.0132
60,rubl,11084,11084,100,0.004,0.0084,0.0074,0.0093,0.0128,0.0157,0.0241
60,swth,11084,11084,100,0.1965,0.2889,0.2796,0.3202,0.3381,0.3528,0.3938
60,wwcr,11084,11084,100,0.0411,0.1003,0.0785,0.1007,0.2115,0.2521,0.2993
61,blbw,3060,3060,100,0.0029,0.0061,0.0065,0.0071,0.0073,0.0076,0.0082
61,boch,3060,3060,100,0.0224,0.0741,0.0761,0.0856,0.0914,0.0963,0.1238
61,brcr,3060,3060,100,0.0122,0.016,0.0159,0.0178,0.0187,0.0192,0.0209
61,btnw,3060,3060,100,0.0038,0.0059,0.006,0.0066,0.0071,0.0077,0.0095
61,cawa,3060,3060,100,0.0026,0.0029,0.0029,0.003,0.003,0.0031,0.0041
61,cmwa,3060,3060,100,0.0071,0.0105,0.0106,0.011,0.0112,0.0116,0.0145
61,osfl,3060,3060,100,0.0059,0.0088,0.009,0.0095,0.0098,0.0103,0.0125
61,pigr,3060,3060,100,0.0068,0.0135,0.0135,0.0154,0.0163,0.0181,0.0274
61,rubl,3060,3060,100,0.0075,0.0169,0.0166,0.0192,0.0211,0.0231,0.0381
61,swth,3060,3060,100,0.0834,0.1874,0.1892,0.2509,0.2701,0.2942,0.3868
61,wwcr,3060,3060,100,0.0825,0.1346,0.1347,0.1454,0.1511,0.1558,0.2307
62,blbw,3432,3432,100,0.0019,0.0042,0.0039,0.006,0.0068,0.007,0.0077
62,boch,3432,3432,100,0.0471,0.0693,0.0586,0.0909,0.1021,0.1152,0.1947
62,brcr,3432,3432,100,0.0129,0.0169,0.0165,0.0196,0.0206,0.022,0.0309
62,btnw,3432,3432,100,0.0034,0.0061,0.0061,0.0068,0.0073,0.0081,0.0156
62,cawa,3432,3432,100,0.0023,0.0045,0.0031,0.0059,0.0079,0.0107,0.0218
62,cmwa,3432,3432,100,0.0092,0.0211,0.0143,0.0306,0.043,0.0556,0.0901
62,osfl,3432,3432,100,0.0034,0.0078,0.0082,0.0092,0.0096,0.0104,0.0132
62,pigr,3432,3432,100,0.0045,0.0099,0.0087,0.0142,0.0157,0.0167,0.0312
62,rubl,3432,3432,100,0.0045,0.0176,0.0182,0.0218,0.023,0.0243,0.0334
62,swth,3432,3432,100,0.1149,0.2294,0.2323,0.2683,0.2831,0.30620000000000003,0.3582
62,wwcr,3432,3432,100,0.0924,0.1573,0.1515,0.182,0.1957,0.2122,0.6245
63,blbw,6232,6232,100,0.0015,0.0027,0.0025,0.0029,0.0035,0.004,0.006
63,boch,6232,6232,100,0.041,0.0466,0.0465,0.0479,0.0485,0.0489,0.0612
63,brcr,6232,6232,100,0.012,0.0132,0.013,0.0135,0.0142,0.015,0.0159
63,btnw,6232,6232,100,0.0023,0.0035,0.0035,0.0037,0.004,0.0043,0.0055
63,cawa,6232,6232,100,0.0019,0.0031,0.0024,0.0038,0.0048,0.0066,0.015
63,cmwa,6232,6232,100,0.005,0.0133,0.0114,0.0168,0.0228,0.0315,0.0717
63,osfl,6232,6232,100,0.0032,0.0048,0.0048,0.0054,0.0057,0.0059,0.0076
63,pigr,6232,6232,100,0.0043,0.0074,0.0058,0.0112,0.0137,0.0143,0.0156
63,rubl,6232,6232,100,0.0044,0.0086,0.0069,0.0121,0.0147,0.0167,0.0664
63,swth,6232,6232,100,0.1999,0.256,0.259,0.2724,0.2811,0.2865,0.3371
63,wwcr,6232,6232,100,0.0678,0.1111,0.0938,0.1327,0.1666,0.1945,0.4584
64,blbw,32792,32792,100,0.0014,0.0046,0.003,0.0059,0.0085,0.0122,0.0726
64,boch,32792,32792,100,0.0398,0.0657,0.0601,0.084,0.0883,0.0908,0.1013
64,brcr,32792,32792,100,0.0122,0.016,0.0144,0.0168,0.0227,0.0264,0.0392
64,btnw,32792,32792,100,0.0023,0.0062,0.0041,0.0064,0.0088,0.0217,0.0586
64,cawa,32792,32792,100,0.0021,0.0083,0.0057,0.0124,0.0174,0.0242,0.0555
64,cmwa,32792,32792,100,0.0074,0.0528,0.0378,0.0805,0.1153,0.1338,0.2517
64,osfl,32792,32792,100,0.0029,0.0055,0.0054,0.0069,0.0074,0.0079,0.0117
64,pigr,32792,32792,100,0.0038,0.0053,0.0052,0.0059,0.006,0.0062,0.0149
64,rubl,32792,32792,100,0.0032,0.0136,0.0145,0.0202,0.023,0.0245,0.0507
64,swth,32792,32792,100,0.1193,0.2618,0.2633,0.2839,0.2984,0.311,0.3491
64,wwcr,32792,32792,100,0.0698,0.1557,0.1391,0.1668,0.2342,0.2904,1.6602
65,blbw,18956,18956,100,0.0014,0.0037,0.0026,0.0032,0.0063,0.0086,0.0457
65,boch,18956,18956,100,0.0472,0.065,0.0622,0.0726,0.0787,0.0926,0.1237
65,brcr,18956,18956,100,0.0123,0.015,0.0138,0.0145,0.0161,0.026,0.0391
65,btnw,18956,18956,100,0.0025,0.0057,0.0047,0.0063,0.0073,0.0115,0.0343
65,cawa,18956,18956,100,0.0022,0.0064,0.0039,0.008,0.0143,0.0226,0.0463
65,cmwa,18956,18956,100,0.0087,0.0285,0.0189,0.038,0.0577,0.0878,0.1596
65,osfl,18956,18956,100,0.0032,0.0072,0.0075,0.0085,0.009,0.0093,0.0119
65,pigr,18956,18956,100,0.004,0.0073,0.006,0.0087,0.0134,0.0151,0.0198
65,rubl,18956,18956,100,0.0035,0.0192,0.0191,0.024,0.0259,0.0272,0.0359
65,swth,18956,18956,100,0.1124,0.2447,0.2475,0.2704,0.2805,0.2923,0.348
65,wwcr,18956,18956,100,0.0788,0.1541,0.1446,0.1657,0.1755,0.1935,2.3206
66,blbw,5988,5988,100,0.0054,0.0092,0.0085,0.0094,0.0103,0.0139,0.0403
66,boch,5988,5988,100,0.0523,0.0868,0.0725,0.0949,0.1349,0.1768,0.3276
66,brcr,5988,5988,100,0.0124,0.0193,0.0168,0.0238,0.0272,0.03,0.0397
66,btnw,5988,5988,100,0.0092,0.0239,0.0226,0.0293,0.0341,0.0392,0.0796
66,cawa,5988,5988,100,0.0028,0.0071,0.0044,0.0083,0.0148,0.0256,0.0355
66,cmwa,5988,5988,100,0.0096,0.0216,0.0147,0.0218,0.029,0.0694,0.1624
66,osfl,5988,5988,100,0.0033,0.0059,0.0062,0.0065,0.0068,0.007,0.009
66,pigr,5988,5988,100,0.0041,0.0091,0.0068,0.0123,0.0167,0.0202,0.0371
66,rubl,5988,5988,100,0.0032,0.0039,0.0038,0.0041,0.0043,0.0048,0.0079
66,swth,5988,5988,100,0.1821,0.2631,0.2669,0.2797,0.2884,0.2987,0.3407
66,wwcr,5988,5988,100,0.0844,0.1179,0.1125,0.1367,0.1507,0.1572,0.2192
68,blbw,34172,33796,99,0.0014,0.0029,0.0029,0.0034,0.0034,0.0035,0.0036
68,boch,34172,33796,99,0.0334,0.0426,0.0425,0.0451,0.0459,0.0465,0.0636
68,brcr,34172,33796,99,0.0132,0.0156,0.0157,0.0165,0.0169,0.0171,0.0176
68,btnw,34172,33796,99,0.0024,0.004,0.004,0.0044,0.0044,0.0045,0.0046
68,cawa,34172,33796,99,0.0021,0.0026,0.0025,0.0028,0.0029,0.003,0.0038
68,cmwa,34172,33796,99,0.0043,0.0125,0.0121,0.0171,0.0183,0.0197,0.0497
68,osfl,34172,33796,99,0.0028,0.0043,0.004,0.0052,0.0056,0.0068,0.0089
68,pigr,34172,33796,99,0.0044,0.0093,0.0094,0.0122,0.0131,0.0136,0.0316
68,rubl,34172,33796,99,0.0045,0.0123,0.0107,0.0148,0.0208,0.0297,0.0555
68,swth,34172,33796,99,0.0386,0.1253,0.103,0.1928,0.263,0.2847,0.3616
68,wwcr,34172,33796,99,0.0373,0.0662,0.0666,0.0747,0.0793,0.0822,0.1869
69,blbw,29860,29860,100,0.0014,0.0031,0.0032,0.0034,0.0035,0.0036,0.0067
69,boch,29860,29860,100,0.0295,0.0477,0.0458,0.0504,0.0573,0.0626,0.0925
69,brcr,29860,29860,100,0.0126,0.0161,0.0162,0.0166,0.0169,0.0171,0.0182
69,btnw,29860,29860,100,0.0024,0.0042,0.0044,0.0046,0.0051,0.0057,0.0075
69,cawa,29860,29860,100,0.0021,0.0031,0.0026,0.003,0.0037,0.0058,0.017
69,cmwa,29860,29860,100,0.0048,0.0153,0.01,0.0177,0.0307,0.0404,0.1715
69,osfl,29860,29860,100,0.0028,0.0053,0.0049,0.0066,0.0073,0.0078,0.0107
69,pigr,29860,29860,100,0.0043,0.009,0.0086,0.0123,0.0133,0.0137,0.0201
69,rubl,29860,29860,100,0.0045,0.0145,0.0146,0.0179,0.0194,0.021,0.0361
69,swth,29860,29860,100,0.0846,0.2535,0.2564,0.2912,0.3061,0.3355,0.3997
69,wwcr,29860,29860,100,0.0367,0.1,0.0836,0.1314,0.1501,0.1978,0.6754
70,blbw,45120,44508,99,0.0016,0.0031,0.0032,0.0034,0.0035,0.0035,0.0036
70,boch,45120,44508,99,0.0285,0.0417,0.0422,0.0459,0.0476,0.0482,0.05
70,brcr,45120,44508,99,0.0137,0.0168,0.0169,0.0172,0.0174,0.0174,0.0178
70,btnw,45120,44508,99,0.0032,0.0042,0.0043,0.0044,0.0044,0.0044,0.0051
70,cawa,45120,44508,99,0.002,0.0027,0.0028,0.0029,0.003,0.003,0.0045
70,cmwa,45120,44508,99,0.0066,0.0096,0.0094,0.0108,0.0124,0.0131,0.0246
70,osfl,45120,44508,99,0.0026,0.0037,0.0035,0.0041,0.0046,0.0048,0.0066
70,pigr,45120,44508,99,0.0044,0.0106,0.0092,0.0142,0.016,0.0175,0.0389
70,rubl,45120,44508,99,0.0033,0.0091,0.0068,0.0124,0.017,0.0204,0.0455
70,swth,45120,44508,99,0.0444,0.0822,0.0737,0.1024,0.1178,0.1424,0.1793
70,wwcr,45120,44508,99,0.0332,0.0659,0.0624,0.0812,0.0902,0.0958,0.2037
71,blbw,49280,49280,100,0.0014,0.0029,0.0031,0.0034,0.0035,0.0035,0.0052
71,boch,49280,49280,100,0.0363,0.0487,0.0485,0.0498,0.0519,0.055,0.0898
71,brcr,49280,49280,100,0.0135,0.0165,0.0168,0.0174,0.0176,0.0184,0.0247
71,btnw,49280,49280,100,0.0029,0.0042,0.0043,0.0044,0.0046,0.005,0.007
71,cawa,49280,49280,100,0.002,0.0026,0.0024,0.0029,0.003,0.003,0.0043
