ecozone,ecoprovince,ecoregion,spp,eco_cells,spp_cells,min,mean,median,p80,p90,p95,max,std_dev
4,4.2,52,amcr,6776,4989,0.0026,0.0031,0.003,0.0032,0.0033,0.0035,0.0053,2e-4
4,4.2,52,amgo,6776,4989,0.0143,0.0148,0.0148,0.0148,0.0149,0.0149,0.0162,1e-4
4,4.2,52,ampi,6776,4989,6e-4,0.0032,0.0033,0.004,0.0043,0.0045,0.0069,9e-4
4,4.2,52,amre,6776,4989,0.0162,0.0225,0.0225,0.0236,0.024,0.0253,0.038,0.0023
4,4.2,52,amro,6776,4989,0.1345,0.1445,0.1441,0.147,0.1487,0.1513,0.1603,0.0036
4,4.2,52,atsp,6776,4989,0.0014,0.1805,0.1655,0.2371,0.3162,0.3717,0.4413,0.0857
4,4.2,52,baww,6776,4989,0.0063,0.0105,0.0109,0.0123,0.0124,0.0125,0.014,0.0019
4,4.2,52,bbwa,6776,4989,0.0018,0.004,0.004,0.0046,0.0051,0.0056,0.0087,9e-4
4,4.2,52,bcch,6776,4989,0.0209,0.0214,0.0214,0.0214,0.0215,0.0216,0.0228,1e-4
4,4.2,52,bhco,6776,4989,0.025,0.0342,0.0345,0.0351,0.0353,0.0355,0.0399,0.0016
4,4.2,52,bhvi,6776,4989,0.0041,0.0069,0.0073,0.0078,0.0079,0.008,0.0086,0.001
4,4.2,52,blbw,6776,4989,0.0014,0.0025,0.0025,0.0026,0.0026,0.0027,0.0036,2e-4
4,4.2,52,blja,6776,4989,0.0019,0.0022,0.0022,0.0022,0.0022,0.0022,0.0023,0
4,4.2,52,blpw,6776,4989,0.0071,0.0842,0.0694,0.1565,0.1707,0.1832,0.6776,0.0647
4,4.2,52,boch,6776,4989,0.0354,0.045,0.0459,0.0473,0.0478,0.0483,0.0663,0.003
4,4.2,52,brbl,6776,4989,0.0031,0.0049,0.0049,0.0058,0.0066,0.0067,0.0073,0.001
4,4.2,52,brcr,6776,4989,0.0121,0.0131,0.013,0.0132,0.0135,0.0154,0.0166,8e-4
4,4.2,52,btnw,6776,4989,0.0022,0.0036,0.0037,0.0038,0.0038,0.0038,0.0046,3e-4
4,4.2,52,cawa,6776,4989,0.0021,0.0024,0.0024,0.0025,0.0026,0.0027,0.0033,1e-4
4,4.2,52,ccsp,6776,4989,0.004,0.0105,0.0113,0.012,0.012,0.0124,0.013,0.002
4,4.2,52,cedw,6776,4989,0.0385,0.045,0.0431,0.0468,0.053,0.0538,0.0592,0.004
4,4.2,52,chsp,6776,4989,0.0491,0.1051,0.0873,0.1388,0.1655,0.2303,0.3265,0.0528
4,4.2,52,cmwa,6776,4989,0.0035,0.0111,0.0122,0.0132,0.0144,0.017,0.0592,0.0041
4,4.2,52,cogr,6776,4989,0.0214,0.0216,0.0215,0.0216,0.0219,0.0223,0.027,4e-4
4,4.2,52,conw,6776,4989,4e-4,8e-4,8e-4,8e-4,8e-4,9e-4,0.001,1e-4
4,4.2,52,cora,6776,4989,0.0119,0.0144,0.0142,0.0151,0.0156,0.0161,0.0239,0.001
4,4.2,52,core,6776,4989,0.1173,0.7617,0.5057,0.8745,1.6831,2.5104,4.7635,0.6987
4,4.2,52,coye,6776,4989,0.0136,0.0166,0.017,0.0176,0.0178,0.0182,0.0206,0.0013
4,4.2,52,cswa,6776,4989,0.0024,0.003,0.003,0.0031,0.0031,0.0031,0.0036,1e-4
4,4.2,52,deju,6776,4989,0.0461,0.08,0.0756,0.0903,0.1021,0.1188,0.1569,0.0177
4,4.2,52,eaki,6776,4989,0.0029,0.0033,0.0033,0.0033,0.0033,0.0033,0.0056,1e-4
4,4.2,52,eaph,6776,4989,0.0015,0.0017,0.0016,0.0017,0.0017,0.0017,0.0018,0
4,4.2,52,evgr,6776,4989,0.0022,0.0027,0.0026,0.0029,0.003,0.0032,0.0046,2e-4
4,4.2,52,fosp,6776,4989,0.0162,0.0725,0.0664,0.0918,0.1098,0.1262,0.2063,0.0263
4,4.2,52,gcki,6776,4989,0.0148,0.0187,0.0184,0.0207,0.0217,0.0225,0.0309,0.0025
4,4.2,52,gcth,6776,4989,0.0039,0.0479,0.041,0.0625,0.1029,0.1244,0.1628,0.032
4,4.2,52,graj,6776,4989,0.0317,0.0609,0.06,0.0742,0.0818,0.0849,0.1557,0.0153
4,4.2,52,heth,6776,4989,0.0134,0.0211,0.019,0.0233,0.0286,0.0339,0.058,0.0066
4,4.2,52,hola,6776,4989,0.0067,0.0073,0.0071,0.0072,0.0079,0.0084,0.0124,5e-4
4,4.2,52,lcsp,6776,4989,0.0027,0.0045,0.0045,0.005,0.0052,0.0053,0.0057,6e-4
4,4.2,52,lefl,6776,4989,0.0193,0.0212,0.0212,0.0215,0.0216,0.0218,0.0239,4e-4
4,4.2,52,lisp,6776,4989,0.0133,0.0339,0.0278,0.0419,0.0589,0.0868,0.2183,0.0245
4,4.2,52,mawa,6776,4989,0.0185,0.0279,0.0289,0.0306,0.0315,0.0324,0.0344,0.0033
4,4.2,52,mowa,6776,4989,0.0014,0.0021,0.0022,0.0022,0.0022,0.0023,0.0024,2e-4
4,4.2,52,nawa,6776,4989,0.0046,0.0062,0.0061,0.0064,0.0065,0.0067,0.0111,7e-4
4,4.2,52,nowa,6776,4989,0.0045,0.024,0.0201,0.0317,0.0465,0.0562,0.1194,0.0142
4,4.2,52,ocwa,6776,4989,0.0361,0.0675,0.0561,0.0934,0.1056,0.1184,0.1687,0.0283
4,4.2,52,osfl,6776,4989,0.0026,0.0046,0.0046,0.0054,0.0057,0.0058,0.0068,8e-4
4,4.2,52,oven,6776,4989,0.0049,0.0064,0.0064,0.0066,0.0068,0.007,0.0091,4e-4
4,4.2,52,pawa,6776,4989,0.0048,0.0165,0.0122,0.0204,0.0285,0.0411,0.1117,0.0142
4,4.2,52,phvi,6776,4989,0.0032,0.0051,0.005,0.0051,0.0053,0.006,0.0125,5e-4
4,4.2,52,pigr,6776,4989,0.0045,0.0116,0.0109,0.0135,0.0142,0.0156,0.2233,0.0096
4,4.2,52,pisi,6776,4989,0.0197,0.0289,0.029,0.0339,0.0358,0.0365,0.0397,0.0049
4,4.2,52,pufi,6776,4989,0.0053,0.006,0.006,0.0064,0.0065,0.0066,0.0094,4e-4
4,4.2,52,rbgr,6776,4989,7e-4,0.0025,0.0026,0.0027,0.0028,0.0028,0.0031,4e-4
4,4.2,52,rbnu,6776,4989,0.0073,0.0086,0.0085,0.0093,0.0099,0.0103,0.0119,9e-4
4,4.2,52,rcki,6776,4989,0.0191,0.0463,0.0339,0.0584,0.0908,0.1242,0.1827,0.0337
4,4.2,52,revi,6776,4989,0.0112,0.0119,0.0119,0.0121,0.0122,0.0124,0.0141,3e-4
4,4.2,52,rubl,6776,4989,0.0028,0.0137,0.0136,0.0191,0.0231,0.0292,0.0891,0.0088
4,4.2,52,rwbl,6776,4989,0.0131,0.0144,0.0143,0.0153,0.0156,0.0158,0.0225,0.001
4,4.2,52,savs,6776,4989,0.0299,0.1159,0.0814,0.1414,0.2619,0.2915,0.36870000000000003,0.0737
4,4.2,52,sosp,6776,4989,0.0116,0.0131,0.0134,0.0136,0.014,0.0143,0.0172,9e-4
4,4.2,52,swsp,6776,4989,0.002,0.0121,0.0131,0.0151,0.0164,0.0198,0.0468,0.0054
4,4.2,52,swth,6776,4989,0.047,0.1123,0.0973,0.1591,0.1906,0.227,0.254,0.0546
4,4.2,52,tewa,6776,4989,0.0089,0.0198,0.0136,0.0327,0.0387,0.0433,0.1176,0.0133
4,4.2,52,tres,6776,4989,0.0211,0.0286,0.0283,0.0289,0.0301,0.0316,0.096,0.0041
4,4.2,52,vath,6776,4989,0.0143,0.0162,0.0162,0.0167,0.0171,0.0174,0.0219,9e-4
4,4.2,52,vesp,6776,4989,0.003,0.0043,0.0044,0.0045,0.0045,0.0045,0.0047,3e-4
4,4.2,52,wavi,6776,4989,0.0098,0.0139,0.014,0.0158,0.0166,0.0169,0.0207,0.0019
4,4.2,52,wcsp,6776,4989,0.1135,0.3886,0.3396,0.5442,0.6264,0.7263,1.0007,0.1655
4,4.2,52,weta,6776,4989,0.0018,0.0059,0.0045,0.0099,0.0104,0.0108,0.0121,0.0036
4,4.2,52,wewp,6776,4989,8e-4,0.0057,0.0059,0.0096,0.01,0.0101,0.0108,0.0035
4,4.2,52,wiwa,6776,4989,0.0131,0.0414,0.0432,0.0508,0.0541,0.0625,0.1657,0.0147
4,4.2,52,wiwr,6776,4989,0.0027,0.0036,0.0035,0.0039,0.0042,0.0044,0.0065,5e-4
4,4.2,52,wtsp,6776,4989,0.0214,0.0338,0.0273,0.0399,0.0574,0.0648,0.0867,0.0134
4,4.2,52,wwcr,6776,4989,0.0616,0.0839,0.083,0.0917,0.096,0.1011,0.2245,0.0121
4,4.2,52,ybfl,6776,4989,0.0046,0.0066,0.0062,0.007,0.0081,0.0087,0.0239,0.0013
4,4.2,52,yrwa,6776,4989,0.0449,0.1446,0.1322,0.194,0.215,0.2561,0.3396,0.0564
4,4.2,52,ywar,6776,4989,0.012,0.1059,0.0909,0.1526,0.1973,0.2514,0.6217,0.0736
4,4.2,53,alfl,1897,1897,0.0457,0.1254,0.125,0.1584,0.1838,0.1957,0.2703,0.04
4,4.2,53,amcr,1897,1897,0.0027,0.0031,0.0031,0.0032,0.0033,0.0035,0.0045,2e-4
4,4.2,53,amgo,1897,1897,0.0142,0.0147,0.0147,0.0147,0.0148,0.0148,0.0161,1e-4
