ecozone,ecoprovince,ecoregion,spp,eco_cells,spp_cells,min,mean,median,p80,p90,p95,max,std_dev
4,4.2,52,ampi,6776,4989,6e-4,0.0032,0.0033,0.004,0.0043,0.0045,0.0069,9e-4
4,4.2,52,amre,6776,4989,0.0162,0.0225,0.0225,0.0236,0.024,0.0253,0.038,0.0023
4,4.2,52,amro,6776,4989,0.1345,0.1445,0.1441,0.147,0.1487,0.1513,0.1603,0.0036
4,4.2,52,atsp,6776,4989,0.0014,0.1805,0.1655,0.2371,0.3162,0.3717,0.4413,0.0857
4,4.2,52,baww,6776,4989,0.0063,0.0105,0.0109,0.0123,0.0124,0.0125,0.014,0.0019
4,4.2,52,bbwa,6776,4989,0.0018,0.004,0.004,0.0046,0.0051,0.0056,0.0087,9e-4
4,4.2,52,bcch,6776,4989,0.0209,0.0214,0.0214,0.0214,0.0215,0.0216,0.0228,1e-4
4,4.2,52,bhco,6776,4989,0.025,0.0342,0.0345,0.0351,0.0353,0.0355,0.0399,0.0016
4,4.2,52,bhvi,6776,4989,0.0041,0.0069,0.0073,0.0078,0.0079,0.008,0.0086,0.001
4,4.2,52,blbw,6776,4989,0.0014,0.0025,0.0025,0.0026,0.0026,0.0027,0.0036,2e-4
4,4.2,52,blja,6776,4989,0.0019,0.0022,0.0022,0.0022,0.0022,0.0022,0.0023,0
4,4.2,52,blpw,6776,4989,0.0071,0.0842,0.0694,0.1565,0.1707,0.1832,0.6776,0.0647
4,4.2,52,boch,6776,4989,0.0354,0.045,0.0459,0.0473,0.0478,0.0483,0.0663,0.003
4,4.2,52,brbl,6776,4989,0.0031,0.0049,0.0049,0.0058,0.0066,0.0067,0.0073,0.001
4,4.2,52,brcr,6776,4989,0.0121,0.0131,0.013,0.0132,0.0135,0.0154,0.0166,8e-4
4,4.2,52,btnw,6776,4989,0.0022,0.0036,0.0037,0.0038,0.0038,0.0038,0.0046,3e-4
4,4.2,52,cawa,6776,4989,0.0021,0.0024,0.0024,0.0025,0.0026,0.0027,0.0033,1e-4
4,4.2,52,ccsp,6776,4989,0.004,0.0105,0.0113,0.012,0.012,0.0124,0.013,0.002
4,4.2,52,cedw,6776,4989,0.0385,0.045,0.0431,0.0468,0.053,0.0538,0.0592,0.004
4,4.2,52,chsp,6776,4989,0.0491,0.1051,0.0873,0.1388,0.1655,0.2303,0.3265,0.0528
4,4.2,52,cmwa,6776,4989,0.0035,0.0111,0.0122,0.0132,0.0144,0.017,0.0592,0.0041
4,4.2,52,cogr,6776,4989,0.0214,0.0216,0.0215,0.0216,0.0219,0.0223,0.027,4e-4
4,4.2,52,conw,6776,4989,4e-4,8e-4,8e-4,8e-4,8e-4,9e-4,0.001,1e-4
4,4.2,52,cora,6776,4989,0.0119,0.0144,0.0142,0.0151,0.0156,0.0161,0.0239,0.001
4,4.2,52,core,6776,4989,0.1173,0.7617,0.5057,0.8745,1.6831,2.5104,4.7635,0.6987
4,4.2,52,coye,6776,4989,0.0136,0.0166,0.017,0.0176,0.0178,0.0182,0.0206,0.0013
4,4.2,52,cswa,6776,4989,0.0024,0.003,0.003,0.0031,0.0031,0.0031,0.0036,1e-4
4,4.2,52,deju,6776,4989,0.0461,0.08,0.0756,0.0903,0.1021,0.1188,0.1569,0.0177
4,4.2,52,eaki,6776,4989,0.0029,0.0033,0.0033,0.0033,0.0033,0.0033,0.0056,1e-4
4,4.2,52,eaph,6776,4989,0.0015,0.0017,0.0016,0.0017,0.0017,0.0017,0.0018,0
4,4.2,52,evgr,6776,4989,0.0022,0.0027,0.0026,0.0029,0.003,0.0032,0.0046,2e-4
4,4.2,52,fosp,6776,4989,0.0162,0.0725,0.0664,0.0918,0.1098,0.1262,0.2063,0.0263
4,4.2,52,gcki,6776,4989,0.0148,0.0187,0.0184,0.0207,0.0217,0.0225,0.0309,0.0025
4,4.2,52,gcth,6776,4989,0.0039,0.0479,0.041,0.0625,0.1029,0.1244,0.1628,0.032
4,4.2,52,graj,6776,4989,0.0317,0.0609,0.06,0.0742,0.0818,0.0849,0.1557,0.0153
4,4.2,52,heth,6776,4989,0.0134,0.0211,0.019,0.0233,0.0286,0.0339,0.058,0.0066
4,4.2,52,hola,6776,4989,0.0067,0.0073,0.0071,0.0072,0.0079,0.0084,0.0124,5e-4
4,4.2,52,lcsp,6776,4989,0.0027,0.0045,0.0045,0.005,0.0052,0.0053,0.0057,6e-4
4,4.2,52,lefl,6776,4989,0.0193,0.0212,0.0212,0.0215,0.0216,0.0218,0.0239,4e-4
4,4.2,52,lisp,6776,4989,0.0133,0.0339,0.0278,0.0419,0.0589,0.0868,0.2183,0.0245
4,4.2,52,mawa,6776,4989,0.0185,0.0279,0.0289,0.0306,0.0315,0.0324,0.0344,0.0033
4,4.2,52,mowa,6776,4989,0.0014,0.0021,0.0022,0.0022,0.0022,0.0023,0.0024,2e-4
4,4.2,52,nawa,6776,4989,0.0046,0.0062,0.0061,0.0064,0.0065,0.0067,0.0111,7e-4
